Day,bitcoin: (Worldwide),Ethereum: (Worldwide),Litecoin: (Worldwide),Ripple: (Worldwide)
3/26/17,54,10,1,6
3/27/17,57,10,1,7
3/28/17,54,9,1,7
3/29/17,53,10,1,7
3/30/17,51,9,4,9
3/31/17,50,9,3,9
4/1/17,17,2,1,2
4/2/17,17,2,1,4
4/3/17,19,3,1,4
4/4/17,19,3,1,3
4/5/17,17,3,1,3
4/6/17,18,3,2,2
4/7/17,17,2,1,3
4/8/17,18,2,1,2
4/9/17,17,2,1,2
4/10/17,18,2,1,3
4/11/17,19,2,1,2
4/12/17,19,2,2,2
4/13/17,19,3,1,2
4/14/17,17,2,1,2
4/15/17,15,2,1,2
4/16/17,16,2,1,2
4/17/17,18,2,1,2
4/18/17,18,3,1,2
4/19/17,18,2,1,2
4/20/17,18,2,1,3
4/21/17,17,2,1,2
4/22/17,17,2,1,2
4/23/17,16,2,1,2
4/24/17,17,3,1,2
4/25/17,19,2,1,2
4/26/17,21,3,1,2
4/27/17,22,4,1,3
4/28/17,20,5,1,3
4/29/17,20,5,1,3
4/30/17,19,5,1,3
5/1/17,24,8,1,3
5/2/17,26,6,1,3
5/3/17,26,5,2,3
5/4/17,33,7,3,4
5/5/17,31,8,3,4
5/6/17,26,5,2,4
5/7/17,25,5,2,5
5/8/17,28,5,2,7
5/9/17,37,7,2,6
5/10/17,34,5,4,5
5/11/17,40,4,3,5
5/12/17,43,4,2,4
5/13/17,45,4,2,4
5/14/17,38,4,1,4
5/15/17,54,4,2,6
5/16/17,49,4,2,8
5/17/17,39,4,2,8
5/18/17,36,4,2,7
5/19/17,41,9,2,6
5/20/17,40,8,2,6
5/21/17,41,10,2,6
5/22/17,65,21,3,7
5/23/17,71,17,3,7
5/24/17,76,20,4,7
5/25/17,100,24,4,7
5/26/17,80,17,3,7
5/27/17,67,13,2,6
5/28/17,53,11,2,5
5/29/17,50,12,2,5
5/30/17,49,16,2,6
5/31/17,48,19,2,6
6/1/17,47,16,2,7
6/2/17,42,13,2,6
6/3/17,38,12,2,5
6/4/17,37,13,2,4
6/5/17,42,15,2,5
6/6/17,59,18,3,5
6/7/17,52,16,4,5
6/8/17,45,15,7,5
6/9/17,44,15,8,5
6/10/17,42,21,10,4
6/11/17,46,24,8,5
6/12/17,57,36,5,6
6/13/17,50,29,4,6
6/14/17,49,27,4,6
6/15/17,58,29,3,6
6/16/17,50,20,4,5
6/17/17,41,17,8,5
6/18/17,38,16,5,4
6/19/17,39,17,6,5
6/20/17,42,20,4,7
6/21/17,43,26,4,6
6/22/17,44,27,4,5
6/23/17,39,20,4,5
6/24/17,39,16,3,4
6/25/17,36,20,3,5
6/26/17,45,28,4,5
6/27/17,51,23,3,4
6/28/17,49,20,3,5
6/29/17,41,17,2,4
6/30/17,35,14,2,4
7/1/17,28,11,1,3
7/2/17,29,11,2,3
7/3/17,30,12,3,3
7/4/17,29,11,4,3
7/5/17,30,11,3,3
7/6/17,30,11,3,3
7/7/17,31,12,2,3
7/8/17,28,11,3,3
7/9/17,28,9,2,3
7/10/17,33,15,3,4
7/11/17,36,18,3,4
7/12/17,35,15,2,4
7/13/17,33,12,2,3
7/14/17,31,10,2,3
7/15/17,38,11,2,3
7/16/17,43,15,2,3
7/17/17,40,13,2,3
7/18/17,37,14,2,4
7/19/17,37,14,2,4
7/20/17,41,12,2,4
7/21/17,40,11,2,4
7/22/17,35,8,2,4
7/23/17,34,8,2,3
7/24/17,36,9,2,4
7/25/17,36,9,2,4
7/26/17,37,9,2,3
7/27/17,34,8,2,3
7/28/17,38,9,2,3
7/29/17,31,8,2,3
7/30/17,32,7,2,3
7/31/17,40,7,2,3
8/1/17,70,9,2,4
8/2/17,64,9,2,4
8/3/17,43,7,1,3
8/4/17,40,7,2,3
8/5/17,50,8,2,4
8/6/17,43,9,2,4
8/7/17,47,10,2,4
8/8/17,51,11,2,4
8/9/17,45,12,2,4
8/10/17,43,10,2,4
8/11/17,47,9,2,3
