count,date,btc_index,eth_per,ltc_per,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,count_vendors,sum,txVolume(USD)_e_e,txCount_e_e,marketcap(USD)_e_e,price(USD)_e_e,exchangeVolume(USD)_e_e,generatedCoins_e_e,fees_e_e,activeAddresses_e_e,txVolume(USD)_l,txCount_l,marketcap(USD)_l,price(USD)_l,exchangeVolume(USD)_l,generatedCoins_l,fees_l,activeAddresses_l,Price_futures,VIX Close,cyber_attack_index,hashrate,diff,dum_future,btc_per,cyber_attack
24,9/3/15,62,2,2,250886764.9,133780,3340990000,229.32,17482000,3600,33.21381331,null,8,6590,723808.3525,4738,94418700,1.3,702991,17380.9375,6.970025674,1448,15538217.82,3053,117773000,2.8,2210590,14150,37.62476829,null,0,25.61,5,415355.2053,54256630328,0,124,10
25,9/4/15,57,2,1,225042526.9,98041,3311080000,227.22,20962400,3900,22.41636578,null,1,6591,222451.2934,5601,92234100,1.26,474391,23081.875,9.733856361,1450,11182180.62,3049,111133000,2.64,1441530,14275,29.14078102,null,0,27.8,3,407263.8701,54256630328,0,114,6
26,9/5/15,55,1,2,199153546.8,132403,3355470000,230.2,20671400,3950,31.13336949,null,3,6594,214369.1175,5471,93402300,1.28,448453,25629.0625,9.141228324,1486,6495932.355,3312,113865000,2.7,2666820,15000,39.00284593,null,0,27.8,3,430369.7695,56957648455,0,110,6
27,9/6/15,63,2,2,200259109.8,106544,3424420000,234.87,25473700,3675,21.85687675,null,2,6596,396954.2379,5489,97625500,1.34,491968,26168.28125,8.055487735,1587,24070292.51,6060,123002000,2.92,4281360,15400,28.8374931,null,0,27.8,4,427538.3894,56957648455,0,126,8
28,9/7/15,60,2,2,204787260.7,122029,3499120000,239.93,21192200,3450,28.70289291,null,3,6599,263278.9001,5626,94585300,1.3,489014,25460.46875,9.256422396,1632,23148555.97,2949,128155000,3.04,2254530,15225,29.7533607,null,0,27.8,4,450189.4299,56957648455,0,120,8
29,9/8/15,61,2,2,272560296.1,124655,3498750000,239.85,26879200,3450,26.04754183,null,7,6606,329606.8219,5604,91020700,1.25,427892,25888.75,10.3799263,1545,21226336.77,3125,128555000,3.05,2566300,15125,42.45139519,null,0,24.9,2,385067.6885,56957648455,0,122,4
30,9/9/15,64,2,2,317961057.7,127477,3551640000,243.41,23635700,3600,26.34717548,null,10,6616,1420839.173,5577,90518300,1.24,366748,26431.40625,9.840601069,1543,10010551.25,2846,128641000,3.05,2298470,15700,38.05453582,null,0,26.23,8,393561.8286,56957648455,0,128,16
31,9/10/15,62,1,2,286529482.5,124063,3478410000,238.34,21215500,4375,28.7367539,null,9,6625,249258.7547,5328,88230500,1.21,662782,26444.21875,7.925807171,1539,11437937.72,2660,123469000,2.92,1420320,15075,32.68584052,null,0,24.37,9,399224.5888,56957648455,0,124,18
32,9/11/15,60,1,1,262263772.7,164860,3479310000,238.33,19224700,4025,33.75014481,null,3,6628,842671.3987,6439,85144300,1.16,1942600,27238.59375,8.876728153,1701,9707878.801,2992,124532000,2.95,1251460,14675,37.09715454,null,0,23.2,9,478503.2305,56957648455,0,120,18
33,9/12/15,57,2,1,177485403.9,154252,3502520000,239.85,17962600,3550,33.12293654,null,2,6630,214854.4682,5555,72179000,0.987228,772430,26402.34375,11.35483319,1544,3932004.513,2492,125157000,2.96,1517440,12250,39.97146523,null,0,23.2,3,489828.7508,56957648455,0,114,6
34,9/13/15,57,1,1,169908122.5,142408,3435990000,235.24,18478800,3625,25.7179695,null,1,6631,232924.671,6017,76193600,1.04,644138,26171.40625,9.578725674,1598,8464985.95,3887,119373000,2.82,1328080,15025,27.13688654,null,0,23.2,5,385067.6885,56957648455,0,114,10
35,9/14/15,59,2,1,254218918.5,161617,3369190000,230.61,20997800,3775,30.34046613,null,5,6636,251532.0977,5542,68814400,0.940566,741085,25588.125,9.901548419,1622,10901838.28,3032,118997000,2.81,1135730,15975,32.30182418,null,0,24.25,5,396393.2087,56957648455,0,118,10
36,9/15/15,63,2,1,263126949.1,167189,3368360000,230.49,19177800,4125,29.4265409,null,9,6645,528121.7419,5390,64052400,0.875189,703390,25615.3125,8.426997145,1486,3144084.913,2568,120280000,2.84,918109,14425,42.73758005,null,0,22.54,6,450189.4299,56957648455,0,126,12
37,9/16/15,61,2,1,271196559,164113,3365740000,230.25,20144200,3575,26.57291552,null,15,6660,522113.2241,5846,68963300,0.941977,615593,26318.125,15.14661708,1510,5185938.919,2981,119718000,2.83,1192860,15200,37.93528289,null,0,21.35,9,461514.9501,56957648455,0,122,18
38,9/17/15,62,1,2,256754503.6,248124,3349390000,229.08,18935400,3575,26.64910663,null,3,6663,268192.3159,5343,66415200,0.906865,897940,25435.625,8.556523791,1517,10351309.67,2774,118757000,2.81,1626720,15050,36.82554558,null,0,21.14,8,421875.6293,56957648455,0,124,16
39,9/18/15,67,1,2,238883629.5,181707,3415440000,233.52,20242200,3625,26.3758538,null,7,6670,356656.4913,5733,64071300,0.874574,484622,25894.21875,11.83482107,1462,11870783.54,3331,123220000,2.91,1572740,14375,43.48511273,null,0,22.28,7,399224.5888,56957648455,0,134,14
40,9/19/15,64,1,2,243633618.2,114187,3406390000,232.86,12712600,3275,22.08227979,null,1,6671,331975.533,5154,62262700,0.849603,386988,27187.1875,7.982204373,1367,12058467.6,2697,125137000,2.95,897801,14450,41.16265104,null,0,22.28,4,424738.9884,59335351234,0,128,8
41,9/20/15,60,1,2,173672397.6,109206,3385770000,231.4,14444700,3150,20.96947239,null,1,6672,115939.607,6341,64600000,0.881191,508314,27982.65625,10.96964547,1466,11718803.73,3691,121797000,2.88,989389,14175,33.04079405,null,0,22.28,4,389344.0727,59335351234,0,120,8
42,9/21/15,61,1,2,298522605.2,126363,3383840000,231.22,19678800,3150,27.07533607,null,1,6673,148483.7981,6244,69045900,0.941496,424039,26651.875,10.18074194,1521,14670414.28,3444,120933000,2.85,1027230,14200,44.87592143,null,0,20.14,16,353949.157,59335351234,0,122,32
43,9/22/15,67,1,1,311628309,137623,3322420000,226.97,25009300,4050,28.41245341,null,5,6678,178937.0815,6759,67444200,0.919337,487914,26370.3125,11.40414518,1535,14245481.69,3645,118630000,2.8,1442340,13125,46.95968679,null,0,22.44,8,389344.0727,59335351234,0,134,16
44,9/23/15,64,1,2,260730421.5,133350,3381390000,230.94,17254100,3750,26.25085789,null,2,6680,118464.0732,7369,66309600,0.90356,200541,27080.3125,10.7002671,1737,8915143.698,3011,121067000,2.86,901921,15250,24.12558691,null,0,22.13,6,471932.2093,59335351234,0,128,12
45,9/24/15,60,1,1,240437915.6,124448,3373850000,230.36,25097800,3600,24.12886677,null,8,6688,275064.0026,6185,65836400,0.896796,842505,26385.78125,10.31950627,1569,6013955.053,2773,121809000,2.87,1328450,14375,21.71172386,null,0,23.47,2,442436.4463,59335351234,0,120,4
46,9/25/15,58,1,2,288766390.9,129898,3433300000,234.36,22363600,4100,27.22450235,null,1,6689,542954.7807,5801,60221400,0.820031,903457,27003.4375,9.836594916,1536,8318769.458,3483,124470000,2.93,959962,13950,35.78427322,null,0,23.62,9,427688.5647,59335351234,0,116,18
47,9/26/15,63,1,1,217267695.9,117232,3444730000,235.08,13724100,3725,25.37887763,null,1,6690,185398.4888,5903,54188900,0.73763,369620,25910.3125,9.289146479,1420,2947366.552,2564,122875000,2.89,531617,14400,23.23207307,null,0,23.62,3,477831.362,59335351234,0,126,6
48,9/27/15,57,1,2,157722239.1,107937,3431860000,234.14,14179900,3725,20.91949864,null,3,6693,302982.7867,5732,58149600,0.791277,413801,25011.09375,8.42387045,1417,4072000.644,3495,122673000,2.89,748001,13925,23.00691297,null,0,23.62,3,424738.9884,59335351234,0,114,6
49,9/28/15,59,1,2,281270781.1,132661,3413630000,232.84,24713000,3375,26.22767263,null,1,6694,516557.9655,6102,53201800,0.723715,1320890,24714.21875,9.272346609,1545,14469952.28,3755,122388000,2.88,2604270,15575,26.11708154,null,0,27.63,15,409991.1069,59335351234,0,118,30
50,9/29/15,61,2,1,339262970.2,138400,3505090000,239.02,22691300,4350,26.23929439,null,4,6698,234208.7173,5715,42607700,0.579414,913992,24364.6875,8.877328421,1532,19995579.19,3710,131839000,3.1,2896120,14650,36.28269468,null,0,26.83,11,510276.7014,59335351234,0,122,22
51,9/30/15,61,2,2,307654765,140222,3471280000,236.64,19743500,3875,27.49153829,null,5,6703,337049.0088,5834,48636600,0.661192,619926,25097.5,8.385327116,1490,11172939.38,3457,126079000,2.97,1371090,15200,26.19967736,null,0,24.5,11,457184.3278,59335351234,0,122,22
52,10/1/15,27,1,1,289376477.3,138316,3462800000,236,20488800,3825,30.22710577,null,2,6705,395443.3595,6402,54032300,0.734307,596084,27422.03125,8.767949463,1473,7243882.381,3079,128156000,3.01,1644010,13550,32.34819177,null,0,22.55,5,465548.4317,60813224039,0,54,10
53,10/2/15,27,0.1,1,395375914.3,138498,3482190000,237.26,19677900,3275,24.95701028,null,3,6708,101770.4468,6053,50328700,0.683732,219318,26913.125,9.765296663,1375,3728321.791,3135,127470000,3,1132180,14500,27.61153523,null,0,20.94,3,377880.2205,60813224039,0,54,6
54,10/3/15,27,0.1,1,215537709.7,123848,3482100000,237.2,16482700,3550,23.1288576,null,4,6712,83472.35791,6101,49981900,0.678783,163326,26453.75,9.791648364,1389,3634584.998,2854,127593000,3,1051760,14350,37.79426602,null,0,20.94,4,459502.3481,60813224039,0,54,8
55,10/4/15,27,0.1,1,199350848.6,104323,3502460000,238.53,12999000,3925,19.57570215,null,0,6712,190487.1838,6619,50556000,0.686343,103497,25480.15625,9.431925786,1393,5485445.301,3530,129094000,3.03,982441,15500,29.40746475,null,0,20.94,4,456479.3064,60813224039,0,54,8
56,10/5/15,26,0.1,1,264748204.8,118099,3497740000,238.15,23335900,3775,22.33949231,null,1,6713,109299.047,6226,49131600,0.666784,234263,26136.875,11.48677351,1409,6991107.479,3358,128635000,3.02,1277060,15150,33.59311187,null,0,19.54,8,447410.1811,60813224039,0,52,16
57,10/6/15,31,1,1,376693154.3,143781,3531230000,240.36,27535100,3625,25.04502727,null,1,6714,315241.2515,6440,45863300,0.622218,262674,25036.5625,9.995299954,1415,10471488.26,3445,128642000,3.02,1972700,14575,37.75232074,null,0,19.4,6,450433.2228,60813224039,0,62,12
58,10/7/15,30,1,1,325632093.8,138355,3617400000,246.17,22999200,3400,25.79766116,null,2,6716,201786.9551,7100,47964700,0.650515,218327,26133.59375,12.18298992,1373,7613122.395,3599,134176000,3.15,1695270,14750,43.26864561,null,0,18.4,6,408110.6381,60813224039,0,60,12
59,10/8/15,31,0.1,1,440280221.9,139675,3572730000,243.07,18515300,3425,26.49869792,null,10,6726,191033.8313,6912,44955900,0.609501,310266,26778.4375,11.97293337,1330,6980956.813,3294,130487000,3.06,1137940,13950,30.76171938,null,0,17.42,5,414156.7217,60813224039,0,62,10
60,10/9/15,27,1,1,301874759.1,118336,3565090000,242.5,17353100,3350,23.40371657,null,12,6738,146902.6186,6751,48334900,0.655084,386420,25451.40625,11.30921838,1366,8095365.197,3534,130862000,3.07,978079,13500,24.32705621,null,0,17.08,5,402064.5546,60813224039,0,54,10
61,10/10/15,29,0.1,1,270396091.5,126718,3584120000,243.74,15912700,3675,25.30094491,null,1,6739,82385.52827,6519,47325200,0.641187,141555,25499.6875,11.38281162,1266,5814109.618,4594,132747000,3.11,1000850,14750,30.89338413,null,0,17.08,4,450433.2228,60813224039,0,58,8
62,10/11/15,27,1,1,226504801.4,106973,3599840000,244.74,16827300,3850,19.86962237,null,0,6739,95944.42056,6011,46327500,0.627461,102128,26507.03125,8.998794599,1300,9335477.038,3646,132636000,3.11,1222700,14100,18.80098405,null,0,17.08,2,453456.2646,60813224039,0,54,4
63,10/12/15,27,1,1,307839591,127536,3632110000,246.88,17388300,3375,23.85647367,null,0,6739,171873.5743,6527,46864200,0.634515,109567,26803.75,10.70380732,1335,10714072.64,4713,134401000,3.15,1252010,14125,22.59320127,null,0,16.17,4,423225.847,60813224039,0,54,8
64,10/13/15,29,1,1,366343987.3,133958,3608340000,245.2,28198500,3450,25.28137542,null,5,6744,258212.8819,6765,46395200,0.627943,303044,26668.28125,12.3232488,1475,14303706.16,4290,134022000,3.14,1605970,14875,14.29872492,null,0,17.67,6,405087.5964,60813224039,0,58,12
65,10/14/15,31,1,1,382807671.9,141428,3672370000,249.49,27462600,3850,27.15791723,null,1,6745,607655.4526,6772,45250600,0.61224,971664,25875.625,11.83199852,1566,13704243.24,5180,135880000,3.18,1781770,14300,13.79335562,null,0,18.03,4,459502.3481,60813224039,0,62,8
66,10/15/15,27,0.1,1,469441013.5,154078,3711800000,252.11,25223500,4025,28.67259031,null,7,6752,418401.4162,6424,38688300,0.523278,371022,25610.46875,18.87034386,1496,10778895.47,4674,134577000,3.15,1428290,13525,13.56543896,null,0,16.05,6,493327.8751,60883825480,0,54,12
67,10/16/15,32,0.1,1,412470905.2,143559,3745090000,254.3,35901500,3800,27.54570794,null,6,6758,202601.8553,6748,41608900,0.562593,249891,25441.40625,21.17944655,1366,9875444.295,4389,132855000,3.11,1472800,13950,16.68127624,null,0,15.05,4,469115.464,60883825480,0,64,8
68,10/17/15,31,1,1,399429171.1,136332,3870490000,262.75,43199600,3300,27.71786494,null,3,6761,130246.0168,6508,39515900,0.534117,313860,26450.625,12.29146245,1355,17086622.99,5479,133010000,3.11,2454780,14750,15.77928896,null,0,15.05,2,396478.2309,60883825480,0,62,4
69,10/18/15,34,0.1,1,272116275,121807,3991620000,270.91,22434300,3650,23.22242438,null,0,6761,99784.3085,6442,40550400,0.547913,133690,25848.28125,13.1130126,1345,37039696.14,5178,131467000,3.07,1217780,14050,15.33884104,null,0,15.05,3,432796.8474,60883825480,0,68,30
70,10/19/15,29,1,1,335088838.3,137751,3859270000,261.86,25258800,4075,27.04653893,null,3,6764,266430.6377,6550,38321300,0.517621,243742,25966.71875,11.69921914,1452,8309810.62,4289,129649000,3.03,1239570,13900,16.74786363,null,0,14.98,7,432796.8474,60883825480,0,58,70
71,10/20/15,35,1,1,374315555.4,140012,3885570000,263.57,30889800,3150,30.27489554,null,2,6766,245597.1518,5867,36261200,0.489629,383921,26192.5,11.5270198,1314,8100236.132,4280,130633000,3.05,1163340,14900,20.04403689,null,0,15.75,6,502407.5292,60883825480,0,70,60
72,10/21/15,32,1,0.1,347429422.1,157654,3970980000,269.31,25637300,3525,30.32451254,null,0,6766,300832.2947,6159,31973600,0.431589,609085,26046.40625,10.15585773,1521,12297356.98,7411,132427000,3.09,988482,15950,20.49718962,null,0,16.7,4,384372.0253,60883825480,0,64,40
73,10/22/15,35,1,1,387949152.6,150681,3930500000,266.5,37808600,4075,29.52668877,null,2,6768,275561.3181,5909,32977300,0.444988,924822,25330.78125,13.20050484,1389,21696190.11,4472,131935000,3.08,1215290,14650,16.4997093,null,0,14.45,42,438849.9502,60883825480,0,70,420
74,10/23/15,31,1,1,340009578.6,138488,4037010000,273.65,29442500,3625,26.88487392,null,1,6769,437771.3186,6768,41986400,0.56637,878822,27554.84375,13.74794139,1523,11541563.72,5153,133677000,3.12,1196600,14700,16.1165879,null,0,14.46,100,475168.5668,60883825480,0,62,1000
75,10/24/15,32,1,1,358719991.9,147218,4080140000,276.5,25942400,3625,29.64851924,null,2,6771,53895.30277,6234,40022100,0.539681,258356,27118.75,10.69663822,1635,4762957.495,5646,133389000,3.11,955111,13950,18.81719675,null,0,14.46,29,466088.9126,60883825480,0,64,290
76,10/25/15,36,0.1,1,354181947,127996,4154100000,281.44,45717100,3850,24.23171136,null,0,6771,147459.1285,5677,41781300,0.563207,635384,26814.21875,9.079512126,1497,13294503.54,6234,133308000,3.11,1656730,14775,17.72894551,null,0,14.46,9,420690.6419,60883825480,0,72,36
77,10/26/15,33,0.1,1,408510601.8,121224,4187410000,283.63,32108800,4000,26.65597642,null,0,6771,443409.269,5896,45991300,0.619743,1089120,25912.1875,10.77326712,1655,10981387.1,6417,131697000,3.07,1119820,13825,19.85021919,null,0,15.29,15,469115.464,60883825480,0,66,60
78,10/27/15,37,1,1,477043952.9,146515,4211500000,285.18,46331800,3900,28.50698372,null,6,6777,1342211.337,6687,52624300,0.70889,1846370,27529.375,18.90289758,1706,6837348.854,5781,133280000,3.11,1102490,15300,16.31517455,null,0,15.43,17,460035.8099,60883825480,0,74,68
79,10/28/15,37,1,1,491837435,157809,4338430000,293.7,50808100,3350,29.86225005,null,9,6786,853649.1296,7298,64676600,0.870938,2373050,26344.6875,10.89869663,1700,6588344.837,6951,132998000,3.1,1433200,14700,27.53682467,null,0,14.33,13,478195.1182,60883825480,0,74,52
80,10/29/15,42,2,1,666420591.7,163984,4496390000,304.32,64495900,3800,34.2390984,null,1,6787,522938.9081,7793,74675600,1.01,2279240,27510.78125,12.55075174,1974,16592304.72,6617,133179000,3.1,11455900,13525,26.97111613,null,0,14.61,14,411610.9878,60883825480,0,84,56
81,10/30/15,45,1,1,747485521.8,165412,4639690000,313.94,78305000,3925,32.37455062,null,4,6791,1463340.706,7842,89857400,1.21,2429200,27720.15625,13.46632166,2219,43555733.59,8253,161824000,3.77,12206200,14625,50.2519191,null,0,15.07,11,458010.0135,62253982450,0,90,44
82,10/31/15,40,1,1,568564372.4,153988,4856410000,328.51,48598100,3800,27.96097661,null,1,6792,290238.7805,7499,77800300,1.05,673892,27751.5625,15.4824256,1987,25753678.17,11574,175409000,4.08,5425140,14075,25.40762149,null,0,15.07,3,507524.6095,62253982450,0,80,12
83,11/1/15,43,1,1,500946973.8,149956,4657890000,315,37001100,3925,26.75350044,null,0,6792,134005.2216,6890,68477200,0.920847,588913,28180.15625,16.17026107,2131,16391975.01,4137,163929000,3.82,3801480,14450,15.71704771,null,0,15.07,5,470388.6625,62253982450,0,172,15
84,11/2/15,47,1,1,735228064.7,168335,4820850000,325.94,101918000,3675,32.42540688,null,2,6794,373003.7448,6522,78701400,1.06,1145200,27134.21875,10.39601397,2039,21420227.68,5094,171197000,3.98,6302390,14925,26.1595517,null,0,14.15,10,492051.2982,62253982450,0,188,30
85,11/3/15,66,1,2,1044781023,188254,5353680000,361.87,206162000,4100,35.09734842,null,5,6799,591937.053,7354,74010000,0.994568,1907690,27605.78125,12.24035099,2066,52250915.15,7026,179517000,4.17,18600100,14550,34.28745414,null,0,14.54,10,448726.0267,62253982450,0,264,30
86,11/4/15,86,1,2,4522343229,202198,5973510000,403.66,263900000,3875,44.54050868,null,8,6807,813332.0738,7004,75232400,1.01,3060340,27716.40625,9.392856951,2039,47186776.54,7848,196995000,4.58,22553800,14200,65.99058627,null,0,15.51,9,488956.636,62253982450,0,344,27
87,11/5/15,74,1,2,1424014799,187933,6040410000,408.08,151825000,3625,35.0288649,null,10,6817,310000.0942,7440,67070700,0.900699,1179840,27291.40625,10.59389052,1914,46278193.62,6385,180695000,4.2,13017300,15075,58.13729267,null,0,15.05,6,479672.6492,62253982450,0,296,18
88,11/6/15,56,1,2,1042290562,167068,5745320000,388.05,122687000,3575,33.00349875,null,5,6822,848836.9253,7828,67397100,0.904772,913666,27422.1875,15.93627016,1807,35702270.54,7804,169811000,3.95,8761900,14575,38.16871452,null,0,14.33,6,461104.6757,62253982450,0,224,18
89,11/7/15,47,1,1,783631347.2,153010,5542680000,374.27,56625100,3875,25.66812105,null,8,6830,393479.4127,10863,68833200,0.923732,890187,26715.3125,32.07991979,2067,18492871.42,5937,152905000,3.55,2638500,14600,22.65229311,null,0,14.33,7,423968.7287,62253982450,0,188,21
90,11/8/15,42,0.1,1,722740347.8,134945,5692390000,384.28,51817600,3650,24.23359365,null,5,6835,821063.3436,12342,68254300,0.915661,1021460,27289.0625,29.52687888,2271,10203672.81,6729,155912000,3.62,2399540,14250,32.10681443,null,0,14.33,3,504429.9473,62253982450,0,126,9
91,11/9/15,48,1,1,1058234617,156156,5546240000,374.32,68224400,3550,28.73466122,null,2,6837,975381.9002,7656,76991800,1.03,2045290,27059.53125,11.26310292,2060,28583474.47,7554,147907000,3.43,4195940,14950,32.2485672,null,0,16.52,9,433252.7154,62253982450,0,144,27
92,11/10/15,41,1,1,1001307482,154200,5631520000,379.98,95797900,3550,27.7364737,null,4,6841,891132.501,8061,74685300,1,854581,27444.0625,15.35119263,1826,30013180.07,5227,146558000,3.4,5565520,13075,37.62825019,null,0,15.29,11,454915.3512,62253982450,0,123,33
