date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses
2017-09-02,210947758.461,7858,10297000000.0,621.96,350478000.0,1675.0,2.77770443,null,
2017-09-03,220102637.69,7515,9574520000.0,578.27,344862000.0,1637.5,2.50160359,null,
2017-09-04,382676045.729,7599,10072200000.0,608.26,328957000.0,1612.5,4.31505577,null,
2017-09-05,305974479.97,7328,8527100000.0,514.9,338978000.0,1400.0,2.36431425999,null,
2017-09-06,383228353.182,8578,8964700000.0,541.28,693240000.0,1750.0,2.3711804,null,
2017-09-07,247855861.127,8677,10548500000.0,636.85,1082380000.0,2587.5,2.36196092,null,
2017-09-08,250514723.559,7552,10840500000.0,654.37,809763000.0,2350.0,1.71427558999,null,
2017-09-09,492029519.093,6257,9688150000.0,584.73,234578000.0,1975.0,1.52744926,null,
2017-09-10,198431982.259,5430,9055430000.0,546.48,289508000.0,1937.5,1.16558703,null,
2017-09-11,416016536.824,7256,8902570000.0,537.19,274712000.0,2175.0,1.20747464,null,
2017-09-12,269289444.334,5993,8934220000.0,539.03,273825000.0,2412.5,1.31772647,null,
2017-09-13,143767433.094,6356,8445540000.0,509.47,340344000.0,2150.0,1.31399,null,
2017-09-14,259162452.295,7296,8359650000.0,504.22,257431000.0,2325.0,2.22638457,null,
2017-09-15,272121996.663,8634,6126800000.0,369.49,707231000.0,2125.0,2.0176211,null,
2017-09-16,224446395.467,7809,7039590000.0,424.49,313583000.0,2137.5,1.84246263,null,
2017-09-17,143731606.011,5027,7279520000.0,438.9,221828000.0,2212.5,0.735145989998,null,
2017-09-18,407052193.024,8675,7001640000.0,422.09,458550000.0,4462.5,1.34094764,null,
2017-09-19,672074861.052,9520,7975010000.0,480.64,802321000.0,3325.0,1.42698772999,null,
2017-09-20,264587502.297,8099,8741670000.0,526.74,669264000.0,3100.0,1.38372934999,null,
2017-09-21,230647720.384,5859,7898300000.0,475.83,316731000.0,425.0,1.15108873,null,
2017-09-22,491961913.2,6746,6937170000.0,417.92,241905000.0,5125.0,1.28153827,null,
2017-09-23,174871724.019,5601,6895970000.0,415.31,189127000.0,4400.0,0.887500270001,null,
2017-09-24,144226129.2,6580,7121950000.0,428.8,114527000.0,3300.0,1.0734338,null,
2017-09-25,257393315.052,8976,6971280000.0,419.65,302272000.0,3525.0,1.36306084003,null,
2017-09-26,195849631.467,6464,7400020000.0,445.36,165303000.0,3912.5,1.09161226,null,
2017-09-27,411882030.487,8802,7343490000.0,441.86,197885000.0,3450.0,1.13267958,null,
2017-09-28,366934794.302,7926,7592000000.0,456.71,300421000.0,912.5,1.27726594,null,
2017-09-29,241264407.87,5755,7441960000.0,447.66,148725000.0,162.5,1.25288,null,
2017-09-30,272005134.712,8445,7258880000.0,436.64,150565000.0,7350.0,1.64584862,null,
2017-10-01,402621317.595,7883,7207770000.0,433.38,164290000.0,12125.0,1.25746341999,null,
2017-10-02,277158752.298,7252,6921580000.0,415.87,219590000.0,5462.5,1.2556313,null,
2017-10-03,214354167.152,4542,7022370000.0,421.79,130247000.0,175.0,1.02391342,null,
2017-10-04,454621906.487,9481,6729640000.0,404.2,251584000.0,10600.0,1.89150925,null,
2017-10-05,466803431.917,8625,5971260000.0,358.42,268341000.0,14112.5,2.39906598999,null,
2017-10-06,352373797.734,6088,5926540000.0,355.44,182031000.0,425.0,1.16513426999,null,
2017-10-07,210554588.764,5044,6062860000.0,363.6,91004000.0,1762.5,1.19532024,null,
2017-10-08,358127141.719,6828,6004940000.0,360.09,203754000.0,1337.5,1.58498505,null,
2017-10-09,472693418.637,9074,5716320000.0,342.76,288075000.0,1137.5,1.84858971998,null,
2017-10-10,281080274.874,8335,5224170000.0,313.22,367809000.0,1400.0,2.04591345,null,
2017-10-11,209360493.974,7284,5341000000.0,320.2,131577000.0,1250.0,1.92143734003,null,
2017-10-12,386086853.641,12256,5262390000.0,315.47,262066000.0,6950.0,3.01332509001,null,
2017-10-13,270662770.292,14947,5242630000.0,314.15,288210000.0,11612.5,4.41591041,null,
2017-10-14,168166773.433,12997,5369720000.0,321.54,164137000.0,1175.0,7.54337325001,null,
2017-10-15,111586628.796,8288,5384760000.0,322.42,133385000.0,525.0,2.91138846,null,
2017-10-16,213585312.512,9968,5265400000.0,315.26,117797000.0,700.0,2.41668296001,null,
2017-10-17,358118746.56,13193,5239520000.0,313.7,1008160000.0,387.5,2.74179545001,null,
2017-10-18,400441848.591,10049,6240990000.0,373.65,477184000.0,1187.5,2.56346339999,null,
2017-10-19,176022995.918,9348,5667070000.0,339.27,195578000.0,1437.5,1.77423759001,null,
2017-10-20,241984751.401,18183,5527860000.0,330.9,160204000.0,1500.0,2.11907119,null,
2017-10-21,160118563.829,9069,5458980000.0,326.75,129938000.0,937.5,1.66897923,null,
2017-10-22,168053926.921,7376,5405020000.0,323.5,355546000.0,175.0,1.39896010001,null,
2017-10-23,177188034.295,9250,5524790000.0,330.67,191558000.0,1350.0,2.01424906,null,
2017-10-24,182691690.845,8717,5278410000.0,315.9,267442000.0,1975.0,1.86735472,null,
2017-10-25,176364081.034,10485,5457720000.0,326.59,151935000.0,2150.0,1.98621041,null,
2017-10-26,199960479.134,9350,5550700000.0,332.11,234967000.0,4987.5,1.89708771,null,
2017-10-27,228240103.409,11743,5655870000.0,338.3,501989000.0,14600.0,2.39550734,null,
2017-10-28,443407504.195,11800,6183520000.0,369.54,781037000.0,15675.0,2.23479461999,null,
2017-10-29,734735370.457,12962,7042260000.0,420.47,2002440000.0,1162.5,2.45184143999,null,
2017-10-30,556797729.196,14855,7679000000.0,458.45,796409000.0,912.5,3.254575,null,
2017-10-31,350825008.695,11353,7527260000.0,449.37,343799000.0,962.5,2.18451816,null,
2017-11-01,481242998.42,13645,7342250000.0,438.3,1152230000.0,1000.0,3.06784607001,null,
2017-11-02,716951960.015,17751,8840010000.0,527.68,1632060000.0,1012.5,3.93366783,null,
2017-11-03,902567144.49,22425,9839760000.0,587.32,1682210000.0,4437.5,4.2538031,null,
2017-11-04,444578842.295,15077,10647200000.0,635.35,1161370000.0,3750.0,2.82618354001,null,
2017-11-05,445541216.03,16958,10390900000.0,619.91,816028000.0,2275.0,3.10678128,null,
2017-11-06,659813587.146,19297,10566600000.0,630.31,794105000.0,2787.5,2.92330696,null,
2017-11-07,427648531.207,17192,10105200000.0,602.68,375367000.0,2775.0,3.41629939999,null,
2017-11-08,809767593.997,23218,10317500000.0,615.24,837646000.0,2725.0,4.12320792,null,
2017-11-09,1118960333.74,24815,10437700000.0,622.31,710387000.0,1762.5,4.45365019001,null,
2017-11-10,3918163445.43,46855,10933000000.0,651.77,5195420000.0,5675.0,8.12904659008,null,
2017-11-11,6366966068.53,46787,16807400000.0,1001.64,5139770000.0,9300.0,8.19722994006,null,
2017-11-12,7083815079.86,76458,22614400000.0,1346.97,8371320000.0,10862.5,14.59882916,null,
2017-11-13,3143076570.21,35112,23214700000.0,1381.82,4850570000.0,762.5,8.31108119,null,
2017-11-14,1511310959.28,24406,22626200000.0,1346.73,1697910000.0,1700.0,8.0931007,null,
2017-11-15,2027736086.16,24790,21335600000.0,1269.79,1321780000.0,2112.5,7.43158824001,null,
2017-11-16,1404435967.45,28469,20202000000.0,1202.17,2034690000.0,1025.0,7.97368086001,null,
2017-11-17,1956141566.76,22432,15279000000.0,909.16,3203430000.0,1950.0,9.22575883,null,
2017-11-18,1481122861.05,22013,20125900000.0,1197.43,3053770000.0,2075.0,6.2505701,null,
2017-11-19,1827301432.38,14869,21196200000.0,1260.95,1285910000.0,1662.5,4.09528383999,null,
2017-11-20,1107659038.26,15738,19710200000.0,1172.43,800053000.0,1762.5,3.60323072,null,
2017-11-21,1578425751.41,18071,20525100000.0,1220.78,772859000.0,1912.5,4.30914317,null,
2017-11-22,1585017288.68,18927,19758600000.0,1175.06,1517620000.0,1862.5,9.38299134999,null,
2017-11-23,1721300584.89,27057,21899400000.0,1302.23,4112090000.0,2012.5,3.40935394999,null,
2017-11-24,1700441784.33,24345,27782400000.0,1651.86,3128960000.0,1637.5,3.23172586,null,
2017-11-25,1151359033.08,18565,27484900000.0,1634.0,1560040000.0,1837.5,2.72247894,null,
2017-11-26,903079478.824,18929,26434500000.0,1571.39,1593050000.0,1762.5,2.33252906,null,
2017-11-27,2333463864.88,20146,28986800000.0,1722.93,1391460000.0,1525.0,2.52455452,null,
2017-11-28,2603549986.9,23380,27277200000.0,1621.17,1274880000.0,1812.5,2.63699524001,null,
2017-11-29,2393875824.77,28233,25941800000.0,1541.63,2345250000.0,1774.85590507,3.30871310001,null,
2017-11-30,1746643605.52,21815,23230400000.0,1380.36,1211730000.0,1675.0,2.35942721999,null,
2017-12-01,1116284839.96,19169,23257100000.0,1381.81,965151000.0,1850.0,2.18879575,null,
2017-12-02,1040892367.22,17581,24610500000.0,1462.06,574510000.0,1712.5,1.95560365,null,
2017-12-03,1544018413.35,21761,24163600000.0,1435.36,1476740000.0,1787.5,2.25182489001,null,
2017-12-04,1602788806.22,21854,26267300000.0,1560.16,780634000.0,1775.0,2.23789110001,null,
2017-12-05,1867736673.23,20813,26606900000.0,1580.16,1032800000.0,1850.0,2.15972999001,null,
2017-12-06,2312020594.5,26703,25234400000.0,1498.49,1154620000.0,1950.0,3.11935040999,null,
2017-12-07,1664284832.86,24274,24095900000.0,1430.71,1285210000.0,950.0,2.98545941999,null,
2017-12-08,12446260991.4,27341,22386700000.0,1329.16,2553980000.0,2162.5,3.22386862,null,
2017-12-09,2383547521.11,18108,24671600000.0,1464.63,1059610000.0,1850.0,2.63721723001,null,
2017-12-10,1674209812.57,16352,23784900000.0,1411.84,885886000.0,1625.0,1.79230544,null,
2017-12-11,1025706854.22,22787,22239900000.0,1320.0,922792000.0,1825.0,2.41267119,null,
2017-12-12,1620636490.36,25125,24051800000.0,1427.38,1386250000.0,1800.0,2.84742061999,null,
2017-12-13,2536909430.17,23160,27249600000.0,1616.99,1245190000.0,1975.0,2.40974637,null,
2017-12-14,3785265693.85,35177,26977700000.0,1600.67,2717410000.0,1887.5,3.5602122,null,
2017-12-15,2822854266.91,28591,33284800000.0,1974.66,1457230000.0,1699.99577502,3.49314199,null,
2017-12-16,1829889280.06,25037,30762600000.0,1824.85,971255000.0,1550.0,3.32447723001,null,
2017-12-17,1024788870.69,28796,30554500000.0,1812.33,1020590000.0,1862.5,3.87252355,null,
2017-12-18,2915033740.5,32452,31516900000.0,1869.21,2538650000.0,2187.5,4.21425997001,null,
2017-12-19,9494167287.85,57288,37083300000.0,2199.06,3913340000.0,1887.5,6.67871052001,null,
2017-12-20,13936577839.5,127904,47644600000.0,2825.03,11889600000.0,2037.5,32.78148611,null,
2017-12-21,6913188586.34,77136,65933700000.0,3909.0,3664330000.0,1637.5,7.75477235001,null,
2017-12-22,5742147570.65,54048,56071800000.0,3324.0,3877770000.0,1575.0,6.53308475,null,
2017-12-23,4013180458.72,47006,46342000000.0,2746.95,2843310000.0,1987.5,4.34047209001,null,
2017-12-24,2427966439.34,34686,55013200000.0,3260.55,1712160000.0,1987.5,2.75322425,null,
2017-12-25,2030654559.08,28791,49430800000.0,2929.35,1355440000.0,1562.5,3.09369754001,null,
2017-12-26,2027095981.21,31570,49745700000.0,2947.74,1544430000.0,1787.5,2.64458879,null,
2017-12-27,2722005793.25,47033,52461200000.0,3108.32,1406450000.0,1775.0,5.07017577,null,
2017-12-28,2890146498.76,33174,48758700000.0,2888.64,3221300000.0,1837.5,3.19988789001,null,
2017-12-29,2880421348.14,43170,43677000000.0,2587.3,2479420000.0,1687.5,5.07105197001,null,
2017-12-30,1931814672.64,35630,47129800000.0,2791.55,1257760000.0,1975.0,4.99510947,null,
2017-12-31,1329870462.53,28315,40134900000.0,2376.96,1300820000.0,1775.0,4.01495387,null,
2018-01-01,1642247317.68,24050,42804800000.0,2534.82,922813000.0,1637.5,3.27212982,null,
2018-01-02,2406613387.11,42971,41114800000.0,2434.5,1831230000.0,1987.5,4.19690236999,null,
2018-01-03,7642276318.92,47394,45613300000.0,2700.55,4688840000.0,1650.0,4.16219664001,null,
2018-01-04,4370271102.77,51493,44069100000.0,2608.87,5377260000.0,1825.0,4.80237917,null,
2018-01-05,5275469841.48,46082,40557600000.0,2400.74,2115710000.0,1675.0,4.23417229001,null,
2018-01-06,5256568703.04,40660,43653200000.0,2583.71,1669160000.0,1912.5,3.15300169001,null,
2018-01-07,3325338427.87,36338,47054000000.0,2784.68,1444780000.0,1837.5,8.79931547,null,
2018-01-08,3948832712.23,37027,47091600000.0,2786.6,1428900000.0,1575.0,12.46138623,null,
2018-01-09,5230540652.09,40223,40770900000.0,2412.36,1084750000.0,1900.0,6.60752891999,null,
2018-01-10,3278231085.14,42595,40398000000.0,2390.02,2578810000.0,1975.0,7.66417152001,null,
2018-01-11,3385134870.53,35538,48880800000.0,2891.55,1947950000.0,1912.5,5.99672875,null,
2018-01-12,8200906888.16,34997,41859100000.0,2475.9,1110220000.0,1687.5,5.69679194003,null,
2018-01-13,3814912607.5,55684,44260300000.0,2617.66,1218570000.0,1887.5,6.06170251002,null,
2018-01-14,1800538627.93,110551,45439500000.0,2687.1,993310000.0,1887.5,11.45334225,null,
2018-01-15,3435552552.53,105658,42983500000.0,2541.58,1412360000.0,1575.0,10.36320726,null,
2018-01-16,3059440034.97,34235,40708800000.0,2406.86,1704030000.0,1775.0,6.12757129001,null,
2018-01-17,2084293229.48,39742,29899500000.0,1767.58,1457730000.0,1787.5,5.59885731002,null,
2018-01-18,1533142202.68,40297,29643600000.0,1752.27,1024060000.0,1900.0,5.18431713001,null,
2018-01-19,811973416.011,25075,29442200000.0,1740.17,743247000.0,1887.5,3.29693698,null,
2018-01-20,765982717.697,24322,30191500000.0,1784.26,1116240000.0,1587.5,3.53660992001,null,
2018-01-21,502762683.976,21762,34415500000.0,2033.7,745179000.0,1800.0,2.68572294,null,
2018-01-22,705655285.879,21865,30370200000.0,1794.46,681350000.0,1837.5,3.08441133,null,
2018-01-23,792241039.208,23842,27473700000.0,1623.14,578984000.0,2037.5,6.0519984,null,
2018-01-24,825188442.245,21773,27460200000.0,1622.15,488161000.0,1587.5,2.71300942999,null,
2018-01-25,727885157.129,24994,28121300000.0,1661.04,522194000.0,1912.5,2.98861816,null,
2018-01-26,1162074994.91,22111,27720500000.0,1637.19,594667000.0,1787.5,2.85848969001,null,
2018-01-27,368765668.697,18722,27136100000.0,1602.5,441742000.0,1825.0,2.2693748,null,
2018-01-28,1280608386.14,19414,27713300000.0,1636.41,580544000.0,1787.5,2.11383133,null,
2018-01-29,721887993.954,20970,29561500000.0,1745.36,362213000.0,1837.5,2.89573483,null,
2018-01-30,1479216680.31,27968,28079700000.0,1657.69,649823000.0,1937.5,3.0362149,null,
2018-01-31,1876119060.56,36542,24915700000.0,1470.74,729209000.0,1475.0,3.55814592,null,
2018-02-01,955938011.961,24194,25263200000.0,1491.12,678020000.0,2012.5,2.84223906,null,
2018-02-02,1454195873.53,25327,21561700000.0,1272.5,896666000.0,1624.99995,3.41397169,null,
2018-02-03,549448291.296,17699,20237400000.0,1194.23,453101000.0,1725.0,1.87721147001,null,
2018-02-04,478799453.956,16009,21577500000.0,1273.17,656034000.0,1887.5,2.00226516,null,
2018-02-05,537576383.743,20821,19659800000.0,1159.89,568117000.0,1675.0,2.33756986,null,
2018-02-06,327884443.562,21160,15103100000.0,890.97,777420000.0,1937.5,2.51286255001,null,
2018-02-07,304562339.108,21149,16462900000.0,971.08,866222000.0,1825.0,2.34672504,null,
2018-02-08,437108989.496,22268,16133900000.0,951.57,2203710000.0,2050.0,3.41336554,null,
2018-02-09,896930527.124,22390,21601200000.0,1273.87,1133760000.0,1575.0,2.8309052,null,
2018-02-10,517422719.372,23849,22249700000.0,1311.99,734606000.0,1937.5,2.41950994,null,
2018-02-11,333793051.951,16767,21295600000.0,1255.59,651555000.0,1762.5,1.70621204,null,
2018-02-12,480487766.803,19744,20735400000.0,1222.43,466213000.0,1862.5,2.15766164,null,
2018-02-13,289614061.62,20706,21803000000.0,1285.23,442663000.0,1700.0,2.14401108,null,
2018-02-14,376177834.329,21342,20854300000.0,1229.18,629852000.0,1762.5,2.4699299,null,
2018-02-15,898761199.781,23467,23053300000.0,1358.65,502454000.0,1837.5,2.76765234,null,
2018-02-16,480869820.655,21584,23302000000.0,1373.16,961010000.0,1887.5,2.83892717,null,
2018-02-17,229730754.938,19905,26280100000.0,1548.48,641719000.0,1725.0,2.52008212,null,
2018-02-18,312842466.104,19746,26344200000.0,1552.1,907873000.0,1762.5,2.23481324,null,
2018-02-19,268045537.777,18498,25179700000.0,1483.34,578906000.0,1812.5,2.46637838,null,
2018-02-20,413015066.874,20715,26199800000.0,1543.27,820947000.0,1737.5,2.97570468,null,
2018-02-21,337701556.923,19156,23988100000.0,1412.85,575354000.0,1762.5,2.6931827,null,
2018-02-22,913023844.998,18988,22153600000.0,1304.66,475079000.0,1775.0,2.40135795,null,
2018-02-23,358833666.668,17589,20673300000.0,1217.36,492542000.0,1762.5,2.25431197,null,
2018-02-24,282622303.682,15909,21511100000.0,1266.56,413263000.0,1825.0,1.92867463,null,
2018-02-25,313473803.326,14810,20235800000.0,1191.35,362665000.0,1750.0,1.91500568001,null,
2018-02-26,299417517.088,32393,20004000000.0,1177.58,460182000.0,1862.5,2.26935268,null,
2018-02-27,626800051.81,19160,21329300000.0,1255.45,420912000.0,1650.0,1.29397776,null,
2018-02-28,309542036.155,19562,21124100000.0,1243.26,375301000.0,1862.5,1.12765071,null,
2018-03-01,408849272.986,19482,20473600000.0,1204.84,482240000.0,1912.5,1.25300514,null,
2018-03-02,323647657.818,18261,21837400000.0,1284.95,421498000.0,1787.5,1.31817248,null,
2018-03-03,357387356.316,17814,21664900000.0,1274.67,371664000.0,1725.0,1.24305882,null,
2018-03-04,155988820.974,15001,21551400000.0,1267.86,367584000.0,1762.5,1.02411811,null,
2018-03-05,530088677.577,38489,21880600000.0,1287.1,350078000.0,1775.0,1.70834409,null,
2018-03-06,277861229.798,18850,21493500000.0,1264.19,401782000.0,1825.0,1.32567367,null,
2018-03-07,231036710.275,17901,20503500000.0,1205.84,455225000.0,1825.0,1.84017905,null,
2018-03-08,264924383.619,18593,18614800000.0,1094.64,446519000.0,1837.5,1.49898894999,null,
2018-03-09,260880801.148,18891,17597200000.0,1034.69,510887000.0,1762.5,1.14652492,null,
2018-03-10,159591854.934,14639,18219100000.0,1071.15,370367000.0,1887.5,1.36846792,null,
2018-03-11,180051348.397,13530,17054300000.0,1002.55,514167000.0,1800.0,0.854473380015,null,
2018-03-12,202031598.888,15893,19461500000.0,1143.94,425558000.0,1775.0,1.20808355999,null,
2018-03-13,268545461.994,16918,17883400000.0,1051.07,458028000.0,1812.5,1.43420417,null,
2018-03-14,239094651.114,19661,18233000000.0,1071.5,406616000.0,1725.0,1.27392944002,null,
2018-03-15,186933288.617,17474,16163200000.0,949.77,374741000.0,1800.0,1.72811614,null,
2018-03-16,231225079.712,18341,16059900000.0,943.6,472033000.0,1812.5,1.19225270999,null,
2018-03-17,178513420.423,16278,16591000000.0,974.7,411316000.0,1887.5,0.989089749998,null,
2018-03-18,116562571.889,14658,16143000000.0,948.28,435070000.0,1812.5,1.96758974,null,
2018-03-19,253983685.312,15976,16048000000.0,942.6,425419000.0,1850.0,2.28122108,null,
2018-03-20,393356212.027,19091,16996000000.0,998.17,503262000.0,1725.0,1.21683475,null,
2018-03-21,432151040.585,18557,18153200000.0,1066.03,389291000.0,1737.5,2.87886565,null,
2018-03-22,349569847.149,17059,17597100000.0,1033.26,344283000.0,1750.0,1.70544520999,null,
2018-03-23,189734927.575,14926,17233800000.0,1011.83,303600000.0,1887.5,1.05906788,null,
2018-03-24,105750942.947,14397,17513300000.0,1028.12,264080000.0,1762.5,0.781436660001,null,
2018-03-25,116070722.123,13298,16586300000.0,973.6,237008000.0,1775.0,0.702051309997,null,
2018-03-26,223882774.727,15207,16490800000.0,967.89,347366000.0,1800.0,1.57398763001,null,
2018-03-27,289365706.706,18438,15625100000.0,916.99,339011000.0,1937.5,1.02306664001,null,
2018-03-28,476710445.38,78109,14934500000.0,876.36,337268000.0,1550.0,1.04675103999,null,
2018-03-29,474149999.674,21654,14684500000.0,861.61,452656000.0,1812.5,1.15085214999,null,
2018-03-30,281066315.066,21062,12142900000.0,712.4,416567000.0,1725.0,1.05358472,null,
2018-03-31,724304032.089,16902,11892100000.0,697.62,306972000.0,1850.0,0.810355729993,null,
2018-04-01,1039816351.95,13651,11729600000.0,688.01,318440000.0,1912.5,0.723223939993,null,
2018-04-02,315281763.345,16925,10988300000.0,644.46,282036000.0,1637.5,0.894170640008,null,
2018-04-03,771626157.771,22117,11325100000.0,664.15,303771000.0,1875.0,1.09134152,null,
2018-04-04,894857410.87,20109,12116300000.0,710.47,282960000.0,1837.5,0.961377869995,null,
