,date,price(USD),eth_price_USD
351,2014-04-17,529.07,
352,2014-04-18,495.8,
353,2014-04-19,479.58,
354,2014-04-20,501.75,
355,2014-04-21,497.74,
356,2014-04-22,495.45,
357,2014-04-23,488.36,
358,2014-04-24,490.82,
359,2014-04-25,500.09,
360,2014-04-26,461.7,
361,2014-04-27,457.24,
362,2014-04-28,430.72,
363,2014-04-29,439.98,
364,2014-04-30,446.89,
365,2014-05-01,447.63,
366,2014-05-02,457.36,
367,2014-05-03,449.4,
368,2014-05-04,438.52,
369,2014-05-05,434.78,
370,2014-05-06,433.36,
371,2014-05-07,429.34,
372,2014-05-08,438.68,
373,2014-05-09,440.18,
374,2014-05-10,450.46,
375,2014-05-11,453.92,
376,2014-05-12,438.3,
377,2014-05-13,441.53,
378,2014-05-14,440.59,
379,2014-05-15,444.14,
380,2014-05-16,447.39,
381,2014-05-17,448.12,
382,2014-05-18,448.7,
383,2014-05-19,446.08,
384,2014-05-20,446.31,
385,2014-05-21,485.8,
386,2014-05-22,492.05,
387,2014-05-23,525.72,
388,2014-05-24,521.05,
389,2014-05-25,525.23,
390,2014-05-26,571.39,
391,2014-05-27,582.59,
392,2014-05-28,571.91,
393,2014-05-29,576.33,
394,2014-05-30,568.18,
395,2014-05-31,615.69,
396,2014-06-01,623.69,
397,2014-06-02,629.64,
398,2014-06-03,660.55,
399,2014-06-04,666.77,
400,2014-06-05,641.07,
401,2014-06-06,659.28,
402,2014-06-07,653.52,
403,2014-06-08,654.99,
404,2014-06-09,655.64,
405,2014-06-10,650.04,
406,2014-06-11,653.19,
407,2014-06-12,633.43,
408,2014-06-13,585.7,
409,2014-06-14,600.75,
410,2014-06-15,575.93,
411,2014-06-16,592.65,
412,2014-06-17,591.59,
413,2014-06-18,609.77,
414,2014-06-19,608.07,
415,2014-06-20,597.4,
416,2014-06-21,593.68,
417,2014-06-22,595.9,
418,2014-06-23,602.16,
419,2014-06-24,593.97,
420,2014-06-25,581.81,
421,2014-06-26,566.14,
422,2014-06-27,581.3,
423,2014-06-28,599.08,
424,2014-06-29,596.33,
425,2014-06-30,602.62,
426,2014-07-01,641.39,
427,2014-07-02,641.04,
428,2014-07-03,650.77,
429,2014-07-04,644.65,
430,2014-07-05,629.95,
431,2014-07-06,631.77,
432,2014-07-07,635.46,
433,2014-07-08,622.57,
434,2014-07-09,625.22,
435,2014-07-10,624.83,
436,2014-07-11,616.66,
437,2014-07-12,631.88,
438,2014-07-13,634.22,
439,2014-07-14,626.56,
440,2014-07-15,620.0,
441,2014-07-16,622.01,
442,2014-07-17,616.54,
443,2014-07-18,622.37,
444,2014-07-19,629.17,
445,2014-07-20,628.56,
446,2014-07-21,623.95,
447,2014-07-22,622.27,
448,2014-07-23,621.12,
449,2014-07-24,619.5,
450,2014-07-25,601.51,
451,2014-07-26,601.54,
452,2014-07-27,595.67,
453,2014-07-28,594.14,
454,2014-07-29,585.55,
455,2014-07-30,584.74,
456,2014-07-31,567.37,
457,2014-08-01,586.2,
458,2014-08-02,594.9,
459,2014-08-03,588.89,
460,2014-08-04,586.23,
461,2014-08-05,589.01,
462,2014-08-06,585.95,
463,2014-08-07,584.65,
464,2014-08-08,588.88,
465,2014-08-09,592.47,
466,2014-08-10,589.17,
467,2014-08-11,591.28,
468,2014-08-12,576.51,
469,2014-08-13,570.38,
470,2014-08-14,546.18,
471,2014-08-15,511.14,
472,2014-08-16,497.83,
473,2014-08-17,519.14,
474,2014-08-18,491.51,
475,2014-08-19,461.48,
476,2014-08-20,485.07,
477,2014-08-21,510.45,
478,2014-08-22,517.58,
479,2014-08-23,513.39,
480,2014-08-24,498.29,
481,2014-08-25,508.22,
482,2014-08-26,502.54,
483,2014-08-27,512.19,
484,2014-08-28,510.88,
485,2014-08-29,508.43,
486,2014-08-30,508.59,
487,2014-08-31,502.9,
488,2014-09-01,477.79,
489,2014-09-02,474.48,
490,2014-09-03,476.87,
491,2014-09-04,477.68,
492,2014-09-05,489.67,
493,2014-09-06,483.34,
494,2014-09-07,485.13,
495,2014-09-08,481.81,
496,2014-09-09,474.88,
497,2014-09-10,475.48,
498,2014-09-11,479.62,
499,2014-09-12,479.58,
500,2014-09-13,477.79,
501,2014-09-14,479.12,
502,2014-09-15,477.76,
503,2014-09-16,474.86,
504,2014-09-17,465.86,
505,2014-09-18,456.86,
506,2014-09-19,424.1,
507,2014-09-20,394.67,
508,2014-09-21,408.08,
509,2014-09-22,399.1,
510,2014-09-23,402.09,
511,2014-09-24,435.75,
512,2014-09-25,423.16,
513,2014-09-26,411.43,
514,2014-09-27,403.56,
515,2014-09-28,399.47,
516,2014-09-29,376.93,
517,2014-09-30,376.09,
518,2014-10-01,387.43,
519,2014-10-02,383.99,
520,2014-10-03,375.18,
521,2014-10-04,359.89,
522,2014-10-05,328.92,
523,2014-10-06,320.39,
524,2014-10-07,330.58,
525,2014-10-08,336.12,
526,2014-10-09,352.75,
527,2014-10-10,364.69,
528,2014-10-11,361.36,
529,2014-10-12,362.61,
530,2014-10-13,377.92,
531,2014-10-14,391.69,
532,2014-10-15,400.95,
533,2014-10-16,394.52,
534,2014-10-17,382.76,
535,2014-10-18,383.98,
536,2014-10-19,391.25,
537,2014-10-20,389.23,
538,2014-10-21,382.42,
539,2014-10-22,386.12,
540,2014-10-23,382.96,
541,2014-10-24,358.59,
542,2014-10-25,358.61,
543,2014-10-26,347.49,
544,2014-10-27,354.78,
545,2014-10-28,353.21,
546,2014-10-29,357.09,
547,2014-10-30,335.71,
548,2014-10-31,345.01,
549,2014-11-01,338.65,
550,2014-11-02,326.07,
551,2014-11-03,325.57,
552,2014-11-04,327.16,
553,2014-11-05,330.68,
554,2014-11-06,339.46,
555,2014-11-07,349.82,
556,2014-11-08,342.15,
557,2014-11-09,345.38,
558,2014-11-10,362.26,
559,2014-11-11,365.86,
560,2014-11-12,367.99,
561,2014-11-13,427.27,
562,2014-11-14,418.42,
563,2014-11-15,399.65,
564,2014-11-16,374.73,
565,2014-11-17,388.35,
566,2014-11-18,387.79,
567,2014-11-19,373.9,
568,2014-11-20,380.31,
569,2014-11-21,357.88,
570,2014-11-22,351.6,
571,2014-11-23,353.18,
572,2014-11-24,366.95,
573,2014-11-25,376.89,
574,2014-11-26,376.02,
575,2014-11-27,370.5,
576,2014-11-28,369.37,
577,2014-11-29,376.15,
578,2014-11-30,375.51,
579,2014-12-01,378.25,
580,2014-12-02,379.25,
581,2014-12-03,381.72,
582,2014-12-04,375.72,
583,2014-12-05,369.44,
584,2014-12-06,376.76,
585,2014-12-07,374.84,
586,2014-12-08,374.96,
587,2014-12-09,361.89,
588,2014-12-10,352.2,
589,2014-12-11,344.34,
590,2014-12-12,350.83,
591,2014-12-13,352.38,
592,2014-12-14,346.73,
593,2014-12-15,351.36,
594,2014-12-16,345.67,
595,2014-12-17,326.86,
596,2014-12-18,319.79,
597,2014-12-19,311.18,
598,2014-12-20,317.62,
599,2014-12-21,329.54,
600,2014-12-22,321.07,
601,2014-12-23,332.02,
602,2014-12-24,334.38,
603,2014-12-25,322.29,
604,2014-12-26,319.15,
605,2014-12-27,327.58,
606,2014-12-28,316.16,
607,2014-12-29,317.7,
608,2014-12-30,312.72,
609,2014-12-31,310.91,
610,2015-01-01,320.44,
611,2015-01-02,314.08,
612,2015-01-03,314.85,
613,2015-01-04,281.15,
614,2015-01-05,265.08,
615,2015-01-06,274.61,
616,2015-01-07,286.08,
617,2015-01-08,294.13,
618,2015-01-09,282.38,
619,2015-01-10,287.3,
620,2015-01-11,274.61,
621,2015-01-12,266.15,
622,2015-01-13,267.39,
623,2015-01-14,223.89,
624,2015-01-15,176.9,
625,2015-01-16,209.07,
626,2015-01-17,207.83,
627,2015-01-18,200.05,
628,2015-01-19,211.47,
629,2015-01-20,212.91,
630,2015-01-21,211.38,
631,2015-01-22,227.32,
632,2015-01-23,233.52,
633,2015-01-24,232.7,
634,2015-01-25,247.35,
635,2015-01-26,254.08,
636,2015-01-27,273.17,
637,2015-01-28,263.35,
638,2015-01-29,233.35,
639,2015-01-30,232.77,
640,2015-01-31,226.44,
641,2015-02-01,216.87,
642,2015-02-02,226.49,
643,2015-02-03,237.45,
644,2015-02-04,227.51,
645,2015-02-05,227.66,
646,2015-02-06,216.92,
647,2015-02-07,222.63,
648,2015-02-08,227.69,
649,2015-02-09,223.39,
650,2015-02-10,220.28,
651,2015-02-11,219.73,
652,2015-02-12,219.21,
653,2015-02-13,221.97,
654,2015-02-14,235.53,
655,2015-02-15,257.51,
656,2015-02-16,234.82,
657,2015-02-17,233.42,
658,2015-02-18,243.78,
659,2015-02-19,236.41,
660,2015-02-20,240.25,
661,2015-02-21,243.75,
662,2015-02-22,244.54,
663,2015-02-23,236.0,
664,2015-02-24,239.0,
665,2015-02-25,238.89,
666,2015-02-26,237.34,
667,2015-02-27,236.44,
668,2015-02-28,253.52,
669,2015-03-01,254.28,
670,2015-03-02,260.36,
671,2015-03-03,275.05,
672,2015-03-04,281.99,
673,2015-03-05,272.74,
674,2015-03-06,275.6,
675,2015-03-07,272.29,
676,2015-03-08,276.43,
677,2015-03-09,274.81,
678,2015-03-10,289.86,
679,2015-03-11,291.52,
680,2015-03-12,296.13,
681,2015-03-13,294.12,
682,2015-03-14,284.44,
683,2015-03-15,281.43,
684,2015-03-16,285.69,
685,2015-03-17,290.6,
686,2015-03-18,285.07,
687,2015-03-19,255.88,
688,2015-03-20,260.96,
689,2015-03-21,261.64,
690,2015-03-22,259.92,
691,2015-03-23,267.89,
692,2015-03-24,266.58,
693,2015-03-25,247.47,
694,2015-03-26,246.28,
695,2015-03-27,248.57,
696,2015-03-28,246.97,
697,2015-03-29,252.74,
698,2015-03-30,242.88,
699,2015-03-31,247.45,
700,2015-04-01,244.22,
701,2015-04-02,247.09,
702,2015-04-03,253.07,
703,2015-04-04,254.29,
704,2015-04-05,253.76,
705,2015-04-06,260.72,
706,2015-04-07,255.27,
707,2015-04-08,253.06,
708,2015-04-09,244.75,
709,2015-04-10,243.69,
710,2015-04-11,236.02,
711,2015-04-12,236.53,
712,2015-04-13,235.95,
713,2015-04-14,224.76,
714,2015-04-15,219.07,
715,2015-04-16,223.92,
716,2015-04-17,228.57,
717,2015-04-18,222.85,
718,2015-04-19,223.46,
719,2015-04-20,222.61,
720,2015-04-21,224.62,
721,2015-04-22,235.6,
722,2015-04-23,234.05,
723,2015-04-24,235.97,
724,2015-04-25,231.24,
725,2015-04-26,226.41,
726,2015-04-27,219.43,
727,2015-04-28,228.97,
728,2015-04-29,225.59,
729,2015-04-30,225.69,
730,2015-05-01,235.94,
731,2015-05-02,232.34,
732,2015-05-03,234.88,
733,2015-05-04,240.36,
734,2015-05-05,238.85,
735,2015-05-06,236.25,
736,2015-05-07,229.66,
737,2015-05-08,237.2,
738,2015-05-09,243.77,
739,2015-05-10,241.73,
740,2015-05-11,240.3,
741,2015-05-12,242.15,
742,2015-05-13,241.4,
743,2015-05-14,236.21,
744,2015-05-15,236.96,
745,2015-05-16,237.64,
746,2015-05-17,236.01,
747,2015-05-18,236.89,
748,2015-05-19,233.04,
749,2015-05-20,231.89,
750,2015-05-21,234.02,
751,2015-05-22,235.32,
752,2015-05-23,240.29,
753,2015-05-24,238.98,
754,2015-05-25,240.93,
755,2015-05-26,237.1,
756,2015-05-27,237.06,
757,2015-05-28,237.26,
758,2015-05-29,237.38,
759,2015-05-30,237.09,
760,2015-05-31,233.13,
761,2015-06-01,230.23,
762,2015-06-02,222.89,
763,2015-06-03,225.74,
764,2015-06-04,225.77,
765,2015-06-05,224.15,
766,2015-06-06,225.0,
767,2015-06-07,225.6,
768,2015-06-08,222.88,
769,2015-06-09,228.54,
770,2015-06-10,229.0,
771,2015-06-11,228.85,
772,2015-06-12,229.71,
773,2015-06-13,229.92,
774,2015-06-14,232.44,
775,2015-06-15,233.42,
776,2015-06-16,236.76,
777,2015-06-17,250.82,
778,2015-06-18,249.43,
779,2015-06-19,249.04,
780,2015-06-20,244.53,
781,2015-06-21,245.1,
782,2015-06-22,243.97,
783,2015-06-23,246.93,
784,2015-06-24,244.28,
785,2015-06-25,240.37,
786,2015-06-26,242.6,
787,2015-06-27,243.55,
788,2015-06-28,250.96,
789,2015-06-29,248.72,
790,2015-06-30,257.04,
791,2015-07-01,263.35,
792,2015-07-02,258.55,
793,2015-07-03,255.46,
794,2015-07-04,256.49,
795,2015-07-05,260.81,
796,2015-07-06,271.11,
797,2015-07-07,269.96,
798,2015-07-08,265.98,
799,2015-07-09,270.83,
800,2015-07-10,269.16,
801,2015-07-11,284.88,
802,2015-07-12,293.14,
803,2015-07-13,310.83,
804,2015-07-14,292.03,
805,2015-07-15,288.05,
806,2015-07-16,286.04,
807,2015-07-17,278.09,
808,2015-07-18,279.33,
809,2015-07-19,274.77,
810,2015-07-20,273.5,
811,2015-07-21,278.88,
812,2015-07-22,275.66,
813,2015-07-23,277.34,
814,2015-07-24,276.0,
815,2015-07-25,288.16,
816,2015-07-26,288.64,
817,2015-07-27,292.64,
818,2015-07-28,293.63,
819,2015-07-29,294.48,
820,2015-07-30,289.1,
821,2015-07-31,287.7,
822,2015-08-01,284.69,
823,2015-08-02,280.45,
824,2015-08-03,282.81,
825,2015-08-04,281.23,
826,2015-08-05,284.85,
827,2015-08-06,281.91,
828,2015-08-07,278.74,
829,2015-08-08,279.74,
830,2015-08-09,261.12,
831,2015-08-10,265.48,0.713989
832,2015-08-11,264.34,0.708087
833,2015-08-12,270.6,1.06
834,2015-08-13,266.18,1.22
835,2015-08-14,264.13,1.81
836,2015-08-15,265.53,1.8
837,2015-08-16,261.87,1.68
838,2015-08-17,258.49,1.58
839,2015-08-18,257.93,1.22
840,2015-08-19,225.67,1.17
841,2015-08-20,226.9,1.25
842,2015-08-21,235.35,1.48
843,2015-08-22,232.66,1.4
844,2015-08-23,230.38,1.38
845,2015-08-24,228.11,1.35
846,2015-08-25,210.07,1.23
847,2015-08-26,222.08,1.13
848,2015-08-27,226.05,1.17
849,2015-08-28,224.7,1.15
850,2015-08-29,231.55,1.19
851,2015-08-30,229.9,1.18
852,2015-08-31,229.11,1.32
853,2015-09-01,230.26,1.35
854,2015-09-02,228.03,1.35
855,2015-09-03,229.32,1.3
856,2015-09-04,227.22,1.26
857,2015-09-05,230.2,1.28
858,2015-09-06,234.87,1.34
859,2015-09-07,239.93,1.3
860,2015-09-08,239.85,1.25
861,2015-09-09,243.41,1.24
862,2015-09-10,238.34,1.21
863,2015-09-11,238.33,1.16
864,2015-09-12,239.85,0.9872280000000001
865,2015-09-13,235.24,1.04
866,2015-09-14,230.61,0.940566
867,2015-09-15,230.49,0.875189
868,2015-09-16,230.25,0.9419770000000001
869,2015-09-17,229.08,0.9068649999999999
870,2015-09-18,233.52,0.874574
871,2015-09-19,232.86,0.8496030000000001
872,2015-09-20,231.4,0.881191
873,2015-09-21,231.22,0.9414959999999999
874,2015-09-22,226.97,0.9193370000000001
875,2015-09-23,230.94,0.90356
876,2015-09-24,230.36,0.8967959999999999
877,2015-09-25,234.36,0.820031
878,2015-09-26,235.08,0.73763
879,2015-09-27,234.14,0.791277
880,2015-09-28,232.84,0.723715
881,2015-09-29,239.02,0.579414
882,2015-09-30,236.64,0.661192
883,2015-10-01,236.0,0.7343069999999999
884,2015-10-02,237.26,0.683732
885,2015-10-03,237.2,0.678783
886,2015-10-04,238.53,0.686343
887,2015-10-05,238.15,0.666784
888,2015-10-06,240.36,0.622218
889,2015-10-07,246.17,0.650515
890,2015-10-08,243.07,0.6095010000000001
891,2015-10-09,242.5,0.655084
892,2015-10-10,243.74,0.641187
893,2015-10-11,244.74,0.6274609999999999
894,2015-10-12,246.88,0.6345149999999999
895,2015-10-13,245.2,0.627943
896,2015-10-14,249.49,0.61224
897,2015-10-15,252.11,0.523278
898,2015-10-16,254.3,0.562593
899,2015-10-17,262.75,0.534117
900,2015-10-18,270.91,0.547913
901,2015-10-19,261.86,0.517621
902,2015-10-20,263.57,0.489629
903,2015-10-21,269.31,0.43158900000000006
904,2015-10-22,266.5,0.444988
905,2015-10-23,273.65,0.5663699999999999
906,2015-10-24,276.5,0.5396810000000001
907,2015-10-25,281.44,0.563207
908,2015-10-26,283.63,0.619743
909,2015-10-27,285.18,0.7088899999999999
910,2015-10-28,293.7,0.8709379999999999
911,2015-10-29,304.32,1.01
912,2015-10-30,313.94,1.21
913,2015-10-31,328.51,1.05
914,2015-11-01,315.0,0.920847
915,2015-11-02,325.94,1.06
916,2015-11-03,361.87,0.994568
917,2015-11-04,403.66,1.01
918,2015-11-05,408.08,0.900699
919,2015-11-06,388.05,0.9047719999999999
920,2015-11-07,374.27,0.923732
921,2015-11-08,384.28,0.9156610000000001
922,2015-11-09,374.32,1.03
923,2015-11-10,379.98,1.0
924,2015-11-11,339.82,0.9412959999999999
925,2015-11-12,314.08,0.796455
926,2015-11-13,338.5,0.9077219999999999
927,2015-11-14,336.62,0.9054690000000001
928,2015-11-15,333.05,0.891217
929,2015-11-16,319.74,0.906166
930,2015-11-17,330.36,0.924948
931,2015-11-18,334.59,0.9932139999999999
932,2015-11-19,334.68,0.988713
933,2015-11-20,326.41,0.955735
934,2015-11-21,322.09,0.928758
935,2015-11-22,326.98,0.979765
936,2015-11-23,324.35,0.967493
937,2015-11-24,323.01,0.946442
938,2015-11-25,320.05,0.893827
939,2015-11-26,328.3,0.863273
940,2015-11-27,351.86,0.8821
941,2015-11-28,357.14,0.868102
942,2015-11-29,357.47,0.9141440000000001
943,2015-11-30,371.44,0.879951
944,2015-12-01,377.41,0.878316
945,2015-12-02,361.85,0.8731709999999999
946,2015-12-03,359.33,0.818546
947,2015-12-04,361.26,0.812082
948,2015-12-05,363.72,0.841195
949,2015-12-06,389.56,0.866417
950,2015-12-07,389.98,0.8363219999999999
951,2015-12-08,395.75,0.806024
952,2015-12-09,414.44,0.8244540000000001
953,2015-12-10,417.99,0.7955899999999999
954,2015-12-11,415.28,0.839995
