,date,btc_price,eth_price,ltc_price,name,total,price,open,high,low,vol,change
196,2/22/16,438.99,4.66,3.47,,,,,,,,
197,2/23/16,438.25,5.68,3.49,6860.0,3770186.0,,,,,,
198,2/24/16,420.96,5.6,3.4,6862.0,3777048.0,,,,,,
199,2/25/16,425.04,6.19,3.39,6866.0,3783914.0,,,,,,
200,2/26/16,424.63,6.04,3.37,,,,,,,,
201,2/27/16,432.84,5.96,3.43,,,,,,,,
202,2/28/16,432.57,6.41,3.41,6868.0,3790782.0,,,,,,
203,2/29/16,433.44,6.46,3.44,6871.0,3797653.0,,,,,,
204,3/1/16,437.92,6.32,3.45,6879.0,3804532.0,,,,,,
205,3/2/16,435.13,7.63,3.43,6883.0,3811415.0,,,,,,
206,3/3/16,423.91,8.44,3.36,6888.0,3818303.0,,,,,,
207,3/4/16,421.84,9.24,3.32,6890.0,3825193.0,,,,,,
208,3/5/16,410.78,10.37,3.25,6891.0,3832084.0,,,,,,
209,3/6/16,400.52,11.2,3.19,,,,,,,,
210,3/7/16,407.76,11.43,3.22,,,,,,,,
211,3/8/16,414.46,9.58,3.27,6892.0,3838976.0,,,,,,
212,3/9/16,413.89,9.79,3.25,6895.0,3845871.0,,,,,,
213,3/10/16,414.74,11.88,3.28,6897.0,3852768.0,,,,,,
214,3/11/16,417.24,11.22,3.29,6899.0,3859667.0,,,,,,
215,3/12/16,421.61,11.13,3.39,6900.0,3866567.0,,,,,,
216,3/13/16,411.65,13.51,3.29,,,,,,,,
217,3/14/16,414.2,14.51,3.31,,,,,,,,
218,3/15/16,416.39,13.0,3.3,6903.0,3873470.0,,,,,,
219,3/16/16,416.89,13.02,3.31,6905.0,3880375.0,,,,,,
220,3/17/16,417.89,12.56,3.31,6907.0,3887282.0,,,,,,
221,3/18/16,420.55,11.11,3.31,6908.0,3894190.0,,,,,,
222,3/19/16,409.26,11.2,3.17,6909.0,3901099.0,,,,,,
223,3/20/16,410.4,10.52,3.18,6912.0,3908011.0,,,,,,
224,3/21/16,413.42,10.3,3.21,,,,,,,,
225,3/22/16,413.13,11.88,3.2,6913.0,3914924.0,,,,,,
226,3/23/16,418.16,11.33,3.23,6917.0,3921841.0,,,,,,
227,3/24/16,418.42,12.44,3.25,6920.0,3928761.0,,,,,,
228,3/25/16,416.51,11.26,3.23,6921.0,3935682.0,,,,,,
229,3/26/16,417.37,10.77,3.23,6922.0,3942604.0,,,,,,
230,3/27/16,418.14,10.99,3.23,,,,,,,,
231,3/28/16,426.55,10.43,3.3,,,,,,,,
232,3/29/16,424.3,11.75,3.26,6923.0,3949527.0,,,,,,
