,Unnamed: 0,date,btc_price,eth_price,ltc_price,name,total,price,open,high,low,vol,change
70,70,2013-07-10,76.72,,2.61,,,,,,,,
71,71,2013-07-11,88.0,,2.84,,,,,,,,
72,72,2013-07-12,88.98,,2.72,,,,,,,,
73,73,2013-07-13,93.99,,2.81,,,,,,,,
74,74,2013-07-14,98.7,,2.93,,,,,,,,
75,75,2013-07-15,93.61,,2.87,,,,,,,,
76,76,2013-07-16,98.89,,3.0,,,,,,,,
77,77,2013-07-17,96.71,,3.08,,,,,,,,
78,78,2013-07-18,98.5,,3.15,,,,,,,,
79,79,2013-07-19,90.07,,2.88,,,,,,,,
80,80,2013-07-20,92.0,,2.96,,,,,,,,
81,81,2013-07-21,89.82,,2.87,,,,,,,,
82,82,2013-07-22,92.0,,2.95,,,,,,,,
83,83,2013-07-23,91.6,,2.89,,,,,,,,
84,84,2013-07-24,95.56,,2.99,,,,,,,,
85,85,2013-07-25,94.5,,2.95,,,,,,,,
86,86,2013-07-26,96.95,,2.98,,,,,,,,
87,87,2013-07-27,96.02,,2.9,,,,,,,,
88,88,2013-07-28,94.4,,2.88,,,,,,,,
89,89,2013-07-29,98.6,,2.94,,,,,,,,
90,90,2013-07-30,101.49,,2.97,,,,,,,,
91,91,2013-07-31,107.95,,3.0,,,,,,,,
92,92,2013-08-01,106.21,,2.87,,,,,,,,
93,93,2013-08-02,104.86,,2.94,,,,,,,,
94,94,2013-08-03,104.5,,2.84,,,,,,,,
95,95,2013-08-04,104.95,,3.01,,,,,,,,
96,96,2013-08-05,105.12,,3.0,,,,,,,,
97,97,2013-08-06,106.72,,2.84,,,,,,,,
98,98,2013-08-07,106.75,,2.82,,,,,,,,
99,99,2013-08-08,106.75,,2.75,,,,,,,,
100,100,2013-08-09,103.07,,2.71,,,,,,,,
101,101,2013-08-10,102.8,,2.69,,,,,,,,
102,102,2013-08-11,103.0,,2.55,,,,,,,,
103,103,2013-08-12,105.0,,2.69,,,,,,,,
104,104,2013-08-13,106.99,,2.66,,,,,,,,
105,105,2013-08-14,109.56,,2.76,,,,,,,,
106,106,2013-08-15,112.56,,2.74,,,,,,,,
107,107,2013-08-16,110.0,,2.76,,,,,,,,
108,108,2013-08-17,108.99,,2.72,,,,,,,,
109,109,2013-08-18,112.75,,2.8,,,,,,,,
110,110,2013-08-19,113.38,,2.8,,,,,,,,
111,111,2013-08-20,119.0,,2.82,,,,,,,,
112,112,2013-08-21,121.21,,2.77,,,,,,,,
113,113,2013-08-22,123.3,,2.69,,,,,,,,
114,114,2013-08-23,122.0,,2.78,,,,,,,,
115,115,2013-08-24,118.51,,2.74,,,,,,,,
116,116,2013-08-25,119.6,,2.68,,,,,,,,
117,117,2013-08-26,122.11,,2.58,,,,,,,,
118,118,2013-08-27,120.07,,2.57,,,,,,,,
119,119,2013-08-28,126.48,,2.58,,,,,,,,
120,120,2013-08-29,122.62,,2.54,,,,,,,,
121,121,2013-08-30,122.35,,2.54,,,,,,,,
122,122,2013-08-31,133.09,,2.66,,,,,,,,
123,123,2013-09-01,135.14,,2.59,,,,,,,,
124,124,2013-09-02,138.63,,2.57,,,,,,,,
125,125,2013-09-03,135.61,,2.55,,,,,,,,
126,126,2013-09-04,136.53,,2.6,,,,,,,,
127,127,2013-09-05,126.76,,2.82,,,,,,,,
128,128,2013-09-06,126.49,,2.78,,,,,,,,
129,129,2013-09-07,118.89,,2.68,,,,,,,,
130,130,2013-09-08,124.13,,2.7,,,,,,,,
131,131,2013-09-09,121.86,,2.73,,,,,,,,
132,132,2013-09-10,127.27,,2.73,,,,,,,,
133,133,2013-09-11,125.89,,2.64,,,,,,,,
134,134,2013-09-12,135.55,,2.75,,,,,,,,
135,135,2013-09-13,132.83,,2.69,,,,,,,,
136,136,2013-09-14,135.01,,2.66,,,,,,,,
137,137,2013-09-15,129.4,,2.59,,,,,,,,
138,138,2013-09-16,130.86,,2.65,,,,,,,,
139,139,2013-09-17,131.59,,2.63,,,,,,,,
140,140,2013-09-18,131.71,,2.6,,,,,,,,
141,141,2013-09-19,131.37,,2.55,,,,,,,,
142,142,2013-09-20,129.7,,2.61,,,,,,,,
143,143,2013-09-21,126.95,,2.48,,,,,,,,
144,144,2013-09-22,127.87,,2.53,,,,,,,,
145,145,2013-09-23,128.98,,2.53,,,,,,,,
146,146,2013-09-24,126.05,,2.47,,,,,,,,
147,147,2013-09-25,127.38,,2.47,,,,,,,,
148,148,2013-09-26,128.21,,2.37,,,,,,,,
149,149,2013-09-27,128.94,,2.4,,,,,,,,
150,150,2013-09-28,133.77,,2.39,,,,,,,,
151,151,2013-09-29,134.9,,2.27,,,,,,,,
152,152,2013-09-30,137.15,,2.3,,,,,,,,
153,153,2013-10-01,132.68,,2.34,,,,,,,,
154,154,2013-10-02,132.05,,2.42,,,,,,,,
155,155,2013-10-03,114.45,,1.98,,,,,,,,
156,156,2013-10-04,123.41,,2.18,,,,,,,,
157,157,2013-10-05,128.63,,2.19,,,,,,,,
158,158,2013-10-06,128.36,,2.13,,,,,,,,
159,159,2013-10-07,129.43,,2.17,,,,,,,,
160,160,2013-10-08,126.74,,2.1,,,,,,,,
161,161,2013-10-09,125.85,,1.98,,,,,,,,
162,162,2013-10-10,130.67,,1.93,,,,,,,,
163,163,2013-10-11,130.75,,2.03,,,,,,,,
164,164,2013-10-12,130.9,,2.07,,,,,,,,
165,165,2013-10-13,135.19,,2.12,,,,,,,,
166,166,2013-10-14,139.27,,2.15,,,,,,,,
167,167,2013-10-15,140.77,,2.06,,,,,,,,
168,168,2013-10-16,145.65,,1.97,,,,,,,,
169,169,2013-10-17,142.41,,1.92,,,,,,,,
170,170,2013-10-18,146.37,,1.92,,,,,,,,
171,171,2013-10-19,155.91,,1.91,,,,,,,,
172,172,2013-10-20,171.66,,1.87,,,,,,,,
173,173,2013-10-21,174.8,,1.93,,,,,,,,
174,174,2013-10-22,182.65,,1.82,,,,,,,,
175,175,2013-10-23,193.36,,1.7,,,,,,,,
176,176,2013-10-24,214.3,,2.06,,,,,,,,
177,177,2013-10-25,197.69,,2.29,,,,,,,,
178,178,2013-10-26,187.45,,2.16,,,,,,,,
179,179,2013-10-27,176.6,,2.2,,,,,,,,
180,180,2013-10-28,196.21,,2.13,,,,,,,,
181,181,2013-10-29,198.55,,2.17,,,,,,,,
182,182,2013-10-30,204.39,,2.13,,,,,,,,
183,183,2013-10-31,199.83,,2.28,,,,,,,,
184,184,2013-11-01,203.9,,2.34,,,,,,,,
185,185,2013-11-02,205.81,,2.46,,,,,,,,
186,186,2013-11-03,205.99,,2.72,,,,,,,,
187,187,2013-11-04,214.66,,2.9,,,,,,,,
188,188,2013-11-05,229.21,,3.08,,,,,,,,
189,189,2013-11-06,244.78,,3.04,,,,,,,,
190,190,2013-11-07,261.68,,3.36,,,,,,,,
191,191,2013-11-08,297.85,,4.38,,,,,,,,
192,192,2013-11-09,338.58,,4.61,,,,,,,,
193,193,2013-11-10,348.82,,4.34,,,,,,,,
194,194,2013-11-11,325.41,,3.91,,,,,,,,
195,195,2013-11-12,343.06,,4.01,,,,,,,,
196,196,2013-11-13,360.97,,4.02,,,,,,,,
197,197,2013-11-14,406.41,,4.11,,,,,,,,
198,198,2013-11-15,419.41,,4.27,,,,,,,,
199,199,2013-11-16,417.28,,4.19,,,,,,,,
200,200,2013-11-17,440.96,,4.33,,,,,,,,
201,201,2013-11-18,496.58,,4.13,,,,,,,,
202,202,2013-11-19,712.76,,9.42,,,,,,,,
203,203,2013-11-20,577.98,,7.96,,,,,,,,
204,204,2013-11-21,594.32,,8.01,,,,,,,,
205,205,2013-11-22,724.07,,9.36,,,,,,,,
206,206,2013-11-23,771.7,,10.12,,,,,,,,
207,207,2013-11-24,795.63,,10.59,,,,,,,,
208,208,2013-11-25,773.02,,10.32,,,,,,,,
209,209,2013-11-26,805.73,,12.38,,,,,,,,
210,210,2013-11-27,923.85,,19.91,,,,,,,,
211,211,2013-11-28,1003.38,,38.99,,,,,,,,
212,212,2013-11-29,1042.01,,44.37,,,,,,,,
213,213,2013-11-30,1129.37,,36.94,,,,,,,,
214,214,2013-12-01,1128.92,,40.57,,,,,,,,
215,215,2013-12-02,951.42,,34.47,,,,,,,,
216,216,2013-12-03,1046.4,,33.35,,,,,,,,
217,217,2013-12-04,1077.58,,39.32,,,,,,,,
218,218,2013-12-05,1152.73,,44.53,,,,,,,,
219,219,2013-12-06,1042.38,,37.46,,,,,,,,
220,220,2013-12-07,835.32,,29.74,,,,,,,,
221,221,2013-12-08,697.31,,23.18,,,,,,,,
222,222,2013-12-09,793.8,,27.21,,,,,,,,
223,223,2013-12-10,892.32,,31.5,,,,,,,,
224,224,2013-12-11,989.07,,36.29,,,,,,,,
225,225,2013-12-12,882.78,,31.23,,,,,,,,
226,226,2013-12-13,874.98,,31.65,,,,,,,,
227,227,2013-12-14,899.85,,31.45,,,,,,,,
228,228,2013-12-15,875.29,,30.46,,,,,,,,
229,229,2013-12-16,880.33,,31.39,,,,,,,,
230,230,2013-12-17,706.37,,24.43,,,,,,,,
231,231,2013-12-18,678.2,,21.85,,,,,,,,
232,232,2013-12-19,519.06,,13.43,,,,,,,,
233,233,2013-12-20,694.22,,19.85,,,,,,,,
234,234,2013-12-21,619.9,,17.31,,,,,,,,
235,235,2013-12-22,601.78,,16.6,,,,,,,,
236,236,2013-12-23,613.06,,16.74,,,,,,,,
237,237,2013-12-24,672.36,,17.81,,,,,,,,
238,238,2013-12-25,666.31,,17.65,,,,,,,,
239,239,2013-12-26,683.94,,21.65,,,,,,,,
240,240,2013-12-27,763.28,,24.81,,,,,,,,
241,241,2013-12-28,737.98,,23.19,,,,,,,,
242,242,2013-12-29,728.05,,22.56,,,,,,,,
243,243,2013-12-30,741.35,,23.89,,,,,,,,
244,244,2013-12-31,760.32,,24.51,,,,,,,,
245,245,2014-01-01,754.97,,24.35,,,,,,,,
246,246,2014-01-02,773.44,,24.7,,,,,,,,
247,247,2014-01-03,802.85,,25.67,,,,,,,,
248,248,2014-01-04,823.27,,24.81,,,,,,,,
249,249,2014-01-05,858.55,,25.04,,,,,,,,
250,250,2014-01-06,936.05,,26.91,,,,,,,,
251,251,2014-01-07,946.49,,29.24,,,,,,,,
252,252,2014-01-08,795.99,,22.84,,,,,,,,
253,253,2014-01-09,841.47,,24.49,,,,,,,,
254,254,2014-01-10,846.69,,24.45,,,,,,,,
255,255,2014-01-11,867.32,,24.99,,,,,,,,
256,256,2014-01-12,919.6,,27.05,,,,,,,,
257,257,2014-01-13,860.19,,25.13,,,,,,,,
258,258,2014-01-14,843.17,,24.28,,,,,,,,
259,259,2014-01-15,833.12,,24.1,,,,,,,,
260,260,2014-01-16,860.29,,25.27,,,,,,,,
261,261,2014-01-17,834.49,,24.4,,,,,,,,
262,262,2014-01-18,816.07,,23.81,,,,,,,,
263,263,2014-01-19,839.66,,24.56,,,,,,,,
264,264,2014-01-20,871.39,,25.43,,,,,,,,
265,265,2014-01-21,869.65,,25.2,,,,,,,,
266,266,2014-01-22,867.21,,24.85,,,,,,,,
267,267,2014-01-23,845.46,,23.65,,,,,,,,
268,268,2014-01-24,822.43,,22.3,,,,,,,,
269,269,2014-01-25,796.24,,20.7,,,,,,,,
270,270,2014-01-26,853.68,,23.2,,,,,,,,
271,271,2014-01-27,884.6,,24.13,,,,,,,,
272,272,2014-01-28,774.02,,20.12,,,,,,,,
273,273,2014-01-29,809.96,,21.42,,,,,,,,
274,274,2014-01-30,826.02,,21.91,,,,,,,,
275,275,2014-01-31,818.43,,21.65,,,,,,,,
276,276,2014-02-01,828.61,,22.1,,,,,,,,
277,277,2014-02-02,832.9,,22.5,,,,,,,,
278,278,2014-02-03,824.08,,22.37,,,,,,,,
279,279,2014-02-04,823.77,,21.9,,,,,,,,
280,280,2014-02-05,829.96,,21.53,,,,,,,,
281,281,2014-02-06,815.59,,20.86,,,,,,,,
282,282,2014-02-07,783.2,,19.9,,,,,,,,
283,283,2014-02-08,699.57,,18.53,,,,,,,,
284,284,2014-02-09,671.46,,18.02,,,,,,,,
285,285,2014-02-10,681.32,,18.3,,,,,,,,
286,286,2014-02-11,683.5,,17.76,,,,,,,,
287,287,2014-02-12,672.38,,17.41,,,,,,,,
288,288,2014-02-13,651.08,,16.93,,,,,,,,
289,289,2014-02-14,601.17,,15.37,,,,,,,,
290,290,2014-02-15,660.9,,16.45,,,,,,,,
291,291,2014-02-16,651.3,,16.09,,,,,,,,
292,292,2014-02-17,614.23,,15.14,,,,,,,,
293,293,2014-02-18,627.16,,15.47,,,,,,,,
294,294,2014-02-19,625.97,,15.56,,,,,,,,
295,295,2014-02-20,623.09,,15.7,,,,,,,,
296,296,2014-02-21,556.88,,13.98,,,,,,,,
297,297,2014-02-22,574.24,,13.92,,,,,,,,
298,298,2014-02-23,606.47,,14.98,,,,,,,,
299,299,2014-02-24,606.04,,15.42,,,,,,,,
300,300,2014-02-25,540.24,,14.5,,,,,,,,
301,301,2014-02-26,537.04,,13.8,,,,,,,,
302,302,2014-02-27,581.65,,14.26,,,,,,,,
303,303,2014-02-28,579.7,,14.29,,,,,,,,
304,304,2014-03-01,549.92,,13.23,,,,,,,,
305,305,2014-03-02,567.23,,13.66,,,,,,,,
306,306,2014-03-03,562.56,,12.78,,,,,,,,
307,307,2014-03-04,668.24,,14.29,,,,,,,,
308,308,2014-03-05,666.24,,16.99,,,,,,,,
309,309,2014-03-06,664.52,,16.38,,,,,,,,
310,310,2014-03-07,664.31,,16.48,,,,,,,,
311,311,2014-03-08,629.66,,15.86,,,,,,,,
312,312,2014-03-09,616.31,,15.41,,,,,,,,
313,313,2014-03-10,636.33,,15.98,,,,,,,,
314,314,2014-03-11,627.95,,16.01,,,,,,,,
