,date,price(USD),eth_price_USD
589,2017-03-21,1055.36,43.51
590,2017-03-22,1120.65,43.12
591,2017-03-23,1050.05,42.57
592,2017-03-24,1038.45,43.64
593,2017-03-25,936.54,53.58
594,2017-03-26,974.01,50.77
595,2017-03-27,972.05,51.31
596,2017-03-28,1044.58,49.71
597,2017-03-29,1046.08,50.57
598,2017-03-30,1042.21,53.12
599,2017-03-31,1026.64,51.75
600,2017-04-01,1071.71,50.03
601,2017-04-02,1080.61,50.74
602,2017-04-03,1102.95,48.82
603,2017-04-04,1145.52,43.92
604,2017-04-05,1134.14,44.66
605,2017-04-06,1125.81,45.22
606,2017-04-07,1178.94,42.87
607,2017-04-08,1172.65,41.8
608,2017-04-09,1176.57,44.28
609,2017-04-10,1187.3,43.28
610,2017-04-11,1187.46,43.5
611,2017-04-12,1204.81,43.46
612,2017-04-13,1201.02,46.31
613,2017-04-14,1170.33,49.97
614,2017-04-15,1167.3,47.65
615,2017-04-16,1172.61,49.04
616,2017-04-17,1183.25,48.66
617,2017-04-18,1193.77,48.32
618,2017-04-19,1212.13,50.73
619,2017-04-20,1211.08,48.13
620,2017-04-21,1229.42,49.64
621,2017-04-22,1222.71,48.18
622,2017-04-23,1231.92,48.59
623,2017-04-24,1209.63,48.87
624,2017-04-25,1250.45,50.07
625,2017-04-26,1265.99,49.91
626,2017-04-27,1281.88,52.81
627,2017-04-28,1317.74,62.23
628,2017-04-29,1317.84,71.39
629,2017-04-30,1321.87,68.54
630,2017-05-01,1348.3,79.32
631,2017-05-02,1421.03,76.65
632,2017-05-03,1453.78,77.25
633,2017-05-04,1490.72,79.72
634,2017-05-05,1540.87,96.73
635,2017-05-06,1556.81,94.91
636,2017-05-07,1579.47,97.87
637,2017-05-08,1596.92,93.75
638,2017-05-09,1723.89,91.23
639,2017-05-10,1756.52,91.15
640,2017-05-11,1780.37,89.77
641,2017-05-12,1845.76,89.43
642,2017-05-13,1723.12,88.69
643,2017-05-14,1800.86,90.87
644,2017-05-15,1808.44,90.78
645,2017-05-16,1741.7,92.39
646,2017-05-17,1726.73,89.25
647,2017-05-18,1818.7,89.84
648,2017-05-19,1897.37,97.05
649,2017-05-20,1984.24,129.22
650,2017-05-21,2067.03,127.54
651,2017-05-22,2043.19,158.17
652,2017-05-23,2191.56,170.82
653,2017-05-24,2321.37,182.65
654,2017-05-25,2446.24,189.85
655,2017-05-26,2320.89,175.22
656,2017-05-27,2196.27,159.82
657,2017-05-28,2054.08,158.82
658,2017-05-29,2159.43,170.13
659,2017-05-30,2255.36,195.61
660,2017-05-31,2187.19,231.58
661,2017-06-01,2288.33,230.89
662,2017-06-02,2404.03,222.29
663,2017-06-03,2493.72,223.46
664,2017-06-04,2547.79,224.12
665,2017-06-05,2512.4,245.26
666,2017-06-06,2690.84,248.6
667,2017-06-07,2869.38,264.26
668,2017-06-08,2720.49,257.99
669,2017-06-09,2807.44,261.75
670,2017-06-10,2828.14,282.01
671,2017-06-11,2942.41,338.79
672,2017-06-12,2953.22,341.16
673,2017-06-13,2680.91,395.69
674,2017-06-14,2716.88,397.59
675,2017-06-15,2499.58,358.51
676,2017-06-16,2469.57,361.18
677,2017-06-17,2514.01,369.88
678,2017-06-18,2655.35,379.52
679,2017-06-19,2549.03,371.86
680,2017-06-20,2591.26,370.33
681,2017-06-21,2709.43,359.54
682,2017-06-22,2691.03,337.73
683,2017-06-23,2707.34,336.49
684,2017-06-24,2738.52,341.63
685,2017-06-25,2607.25,323.47
686,2017-06-26,2590.57,302.95
687,2017-06-27,2478.45,272.69
688,2017-06-28,2553.03,293.04
689,2017-06-29,2567.56,328.37
690,2017-06-30,2539.24,303.15
691,2017-07-01,2492.6,293.35
692,2017-07-02,2436.4,275.12
693,2017-07-03,2498.56,288.41
694,2017-07-04,2561.0,282.19
695,2017-07-05,2602.87,273.1
696,2017-07-06,2608.1,268.86
697,2017-07-07,2608.59,270.35
698,2017-07-08,2520.27,245.89
699,2017-07-09,2572.61,251.82
700,2017-07-10,2525.25,243.01
701,2017-07-11,2385.89,211.53
702,2017-07-12,2332.77,197.15
703,2017-07-13,2402.7,231.81
704,2017-07-14,2360.59,209.53
705,2017-07-15,2230.12,199.71
706,2017-07-16,1991.98,169.57
707,2017-07-17,1932.62,159.99
708,2017-07-18,2233.52,195.03
709,2017-07-19,2323.08,234.94
710,2017-07-20,2269.89,205.42
711,2017-07-21,2838.41,226.06
712,2017-07-22,2668.63,217.86
713,2017-07-23,2808.1,229.12
714,2017-07-24,2732.7,226.28
715,2017-07-25,2757.5,224.37
716,2017-07-26,2577.77,207.09
717,2017-07-27,2538.71,204.86
718,2017-07-28,2679.73,204.32
719,2017-07-29,2807.02,193.34
720,2017-07-30,2724.39,206.74
721,2017-07-31,2763.24,197.41
722,2017-08-01,2871.3,204.69
723,2017-08-02,2727.13,227.01
724,2017-08-03,2709.56,220.18
725,2017-08-04,2806.93,225.31
726,2017-08-05,2897.63,222.85
727,2017-08-06,3257.61,256.42
728,2017-08-07,3212.78,261.24
729,2017-08-08,3370.22,269.1
730,2017-08-09,3420.4,297.63
731,2017-08-10,3341.84,296.96
732,2017-08-11,3373.82,294.5
733,2017-08-12,3650.63,308.71
734,2017-08-13,3880.04,310.37
735,2017-08-14,4066.1,298.03
736,2017-08-15,4326.99,299.95
737,2017-08-16,4200.34,289.82
738,2017-08-17,4384.44,302.81
739,2017-08-18,4324.34,301.7
740,2017-08-19,4137.75,296.18
741,2017-08-20,4189.31,296.64
742,2017-08-21,4090.48,300.48
743,2017-08-22,3998.35,321.06
744,2017-08-23,4089.01,315.27
745,2017-08-24,4137.6,317.45
746,2017-08-25,4332.82,326.11
747,2017-08-26,4372.06,331.99
748,2017-08-27,4345.1,334.36
749,2017-08-28,4384.45,350.04
750,2017-08-29,4389.21,347.96
751,2017-08-30,4570.36,369.47
752,2017-08-31,4555.59,378.44
753,2017-09-01,4701.76,383.47
754,2017-09-02,4901.42,387.82
755,2017-09-03,4585.27,350.23
756,2017-09-04,4591.63,347.13
757,2017-09-05,4228.29,297.57
758,2017-09-06,4376.59,313.8
