date,btc_per,eth_per,ltc_per
12/11/15,53,1,1
12/12/15,51,1,2
12/13/15,44,1,2
12/14/15,44,1,2
12/15/15,50,1,1
12/16/15,48,1,1
12/17/15,41,1,1
12/18/15,44,1,1
12/19/15,37,1,1
12/20/15,38,1,1
12/21/15,40,1,1
12/22/15,39,0.1,1
12/23/15,44,1,1
12/24/15,40,1,2
12/25/15,36,1,1
12/26/15,40,1,1
12/27/15,40,0.1,2
12/28/15,41,1,1
12/29/15,41,0.1,2
12/30/15,35,0.1,1
12/31/15,36,1,1
1/1/16,62,0.1,2
1/2/16,62,1,2
1/3/16,61,1,2
1/4/16,67,1,2
1/5/16,66,1,2
1/6/16,68,2,2
1/7/16,75,1,2
1/8/16,72,1,3
1/9/16,67,1,1
1/10/16,62,1,2
1/11/16,69,2,2
1/12/16,65,2,1
1/13/16,70,2,2
1/14/16,63,2,2
1/15/16,95,2,2
1/16/16,100,3,2
1/17/16,75,2,1
1/18/16,78,2,2
1/19/16,75,3,3
1/20/16,84,3,2
1/21/16,71,2,3
1/22/16,72,3,1
1/23/16,61,3,2
1/24/16,62,5,2
1/25/16,68,5,1
1/26/16,66,6,2
1/27/16,67,4,2
1/28/16,67,4,2
1/29/16,65,4,2
1/30/16,55,4,3
1/31/16,59,3,1
2/1/16,58,3,1
2/2/16,64,2,1
2/3/16,60,3,2
2/4/16,62,3,1
2/5/16,55,3,2
2/6/16,63,3,1
2/7/16,61,3,2
2/8/16,57,6,1
2/9/16,66,6,3
2/10/16,65,8,2
2/11/16,62,8,2
2/12/16,65,9,2
2/13/16,60,6,1
2/14/16,66,5,2
2/15/16,68,7,2
2/16/16,66,6,2
2/17/16,74,5,2
2/18/16,81,5,1
2/19/16,68,4,2
2/20/16,71,6,2
2/21/16,69,5,2
2/22/16,71,5,2
2/23/16,68,6,1
2/24/16,64,5,1
2/25/16,69,7,1
2/26/16,57,7,1
2/27/16,62,7,1
2/28/16,60,5,2
2/29/16,62,6,1
3/1/16,71,7,2
3/2/16,65,9,1
3/3/16,68,15,1
3/4/16,64,10,2
3/5/16,68,14,3
3/6/16,65,9,1
3/7/16,63,11,2
3/8/16,67,10,2
3/9/16,64,10,1
3/10/16,57,10,1
3/11/16,60,9,1
3/12/16,58,14,1
3/13/16,57,15,2
3/14/16,65,16,1
3/15/16,63,14,2
3/16/16,66,12,1
3/17/16,59,11,1
3/18/16,58,12,2
3/19/16,56,9,1
3/20/16,53,9,2
3/21/16,62,9,2
3/22/16,63,9,1
3/23/16,56,11,1
3/24/16,60,7,1
3/25/16,57,6,1
3/26/16,52,7,2
3/27/16,54,6,2
3/28/16,60,14,2
3/29/16,60,12,2
3/30/16,63,12,2
3/31/16,64,10,2
4/1/16,28,4,1
4/2/16,27,4,1
4/3/16,27,3,1
4/4/16,31,4,1
4/5/16,27,4,1
4/6/16,29,4,1
4/7/16,29,4,1
4/8/16,30,3,1
4/9/16,30,3,1
4/10/16,31,4,1
4/11/16,32,3,1
4/12/16,33,4,1
4/13/16,30,3,1
4/14/16,31,3,1
4/15/16,29,3,1
4/16/16,28,2,1
4/17/16,25,2,0.1
4/18/16,29,3,1
4/19/16,28,4,1
4/20/16,32,3,1
4/21/16,33,4,1
4/22/16,31,3,1
4/23/16,32,2,1
4/24/16,33,3,1
4/25/16,35,3,1
4/26/16,37,3,1
4/27/16,35,3,1
4/28/16,38,3,1
4/29/16,33,2,1
4/30/16,33,4,1
5/1/16,30,3,1
5/2/16,100,4,1
5/3/16,62,4,1
5/4/16,44,4,1
5/5/16,46,3,1
5/6/16,41,4,1
5/7/16,35,3,1
5/8/16,34,3,1
5/9/16,37,4,1
5/10/16,39,3,1
5/11/16,33,4,1
5/12/16,36,4,1
5/13/16,33,5,1
5/14/16,29,4,0.1
5/15/16,30,3,1
5/16/16,32,6,1
5/17/16,32,5,1
5/18/16,31,7,1
5/19/16,34,7,1
5/20/16,34,7,1
5/21/16,29,5,1
5/22/16,28,5,1
5/23/16,32,6,0.1
5/24/16,33,5,1
5/25/16,34,7,1
5/26/16,33,6,1
5/27/16,35,6,1
5/28/16,40,6,1
5/29/16,47,4,1
5/30/16,48,5,1
5/31/16,44,6,1
6/1/16,42,6,1
6/2/16,38,6,1
6/3/16,46,6,1
6/4/16,44,5,1
6/5/16,40,5,1
6/6/16,41,4,0.1
6/7/16,44,5,1
6/8/16,38,5,1
6/9/16,39,5,1
6/10/16,35,5,1
6/11/16,36,3,1
6/12/16,54,5,1
6/13/16,70,8,1
6/14/16,57,7,2
6/15/16,50,8,1
6/16/16,64,7,1
6/17/16,62,19,1
6/18/16,55,16,2
6/19/16,50,11,2
6/20/16,52,12,2
6/21/16,57,8,2
6/22/16,54,9,1
6/23/16,54,8,1
6/24/16,77,6,1
6/25/16,53,6,1
6/26/16,44,4,1
6/27/16,50,5,1
6/28/16,45,6,1
6/29/16,42,6,1
6/30/16,44,6,1
7/1/16,54,6,1
7/2/16,52,5,1
7/3/16,55,6,1
7/4/16,49,7,2
7/5/16,51,8,1
7/6/16,52,5,1
7/7/16,56,5,0.1
7/8/16,54,4,1
7/9/16,68,5,2
7/10/16,56,4,1
7/11/16,50,5,1
7/12/16,51,4,1
7/13/16,50,4,1
7/14/16,44,6,1
7/15/16,44,5,1
7/16/16,44,4,0.1
7/17/16,45,5,1
7/18/16,46,5,1
7/19/16,47,5,1
7/20/16,43,9,1
7/21/16,41,8,1
7/22/16,43,7,1
7/23/16,39,8,0.1
7/24/16,40,9,1
7/25/16,41,8,1
7/26/16,43,12,1
7/27/16,48,10,1
7/28/16,41,7,1
7/29/16,41,6,1
7/30/16,40,6,0.1
7/31/16,41,7,1
8/1/16,47,6,1
8/2/16,56,11,1
8/3/16,100,10,1
8/4/16,67,7,0.1
8/5/16,52,5,1
8/6/16,42,4,1
8/7/16,47,5,1
8/8/16,43,5,1
8/9/16,45,5,1
8/10/16,42,5,1
8/11/16,41,5,1
8/12/16,40,5,1
8/13/16,38,4,1
8/14/16,37,5,1
8/15/16,42,4,1
8/16/16,41,3,0.1
8/17/16,42,3,1
8/18/16,41,3,1
8/19/16,39,4,1
8/20/16,35,3,0.1
8/21/16,34,3,1
8/22/16,40,3,1
8/23/16,40,3,1
8/24/16,40,4,1
8/25/16,42,4,1
8/26/16,38,4,1
8/27/16,39,3,1
8/28/16,40,4,1
8/29/16,40,5,1
8/30/16,38,4,1
8/31/16,42,3,1
9/1/16,41,5,1
9/2/16,39,4,1
9/3/16,43,3,1
9/4/16,46,4,1
9/5/16,42,4,1
9/6/16,41,4,1
9/7/16,43,3,0.1
9/8/16,49,4,1
9/9/16,43,4,1
9/10/16,45,3,1
9/11/16,42,3,1
9/12/16,45,4,1
9/13/16,40,3,0.1
9/14/16,41,3,1
9/15/16,42,5,1
9/16/16,42,5,0.1
9/17/16,41,4,1
9/18/16,42,6,1
9/19/16,39,6,1
9/20/16,44,6,0.1
9/21/16,45,7,1
9/22/16,41,6,1
9/23/16,41,6,1
9/24/16,38,5,1
9/25/16,37,5,1
9/26/16,40,4,1
9/27/16,39,4,1
9/28/16,38,4,0.1
9/29/16,39,4,0.1
9/30/16,40,3,0.1
10/1/16,43,4,1
10/2/16,40,3,1
10/3/16,43,4,1
10/4/16,43,5,1
10/5/16,44,5,1
10/6/16,43,5,1
10/7/16,45,5,1
10/8/16,43,6,1
10/9/16,46,4,1
10/10/16,45,5,1
10/11/16,51,5,1
10/12/16,54,4,1
10/13/16,49,5,1
10/14/16,48,5,1
10/15/16,44,4,1
10/16/16,43,4,1
10/17/16,46,5,1
10/18/16,45,5,1
10/19/16,46,6,1
10/20/16,45,4,1
10/21/16,43,4,1
10/22/16,44,3,1
10/23/16,48,3,0.1
10/24/16,48,4,1
10/25/16,48,5,1
10/26/16,51,4,1
10/27/16,56,5,1
10/28/16,58,5,1
10/29/16,67,5,1
10/30/16,57,4,1
10/31/16,58,5,1
11/1/16,64,6,1
11/2/16,58,4,1
11/3/16,63,4,1
11/4/16,59,4,1
11/5/16,58,3,1
11/6/16,57,4,1
11/7/16,58,4,1
11/8/16,55,5,1
11/9/16,77,4,1
11/10/16,58,4,1
11/11/16,55,5,1
11/12/16,54,3,1
11/13/16,54,4,1
11/14/16,55,5,1
11/15/16,54,4,1
11/16/16,60,4,1
11/17/16,65,4,1
11/18/16,62,4,1
11/19/16,59,4,1
11/20/16,58,3,1
11/21/16,56,5,1
11/22/16,62,5,1
11/23/16,59,4,1
11/24/16,60,4,1
11/25/16,55,3,1
11/26/16,55,3,1
11/27/16,56,4,1
11/28/16,57,5,1
11/29/16,60,4,1
11/30/16,59,4,1
12/1/16,60,4,1
12/2/16,65,5,1
12/3/16,58,3,1
12/4/16,56,4,1
12/5/16,61,5,1
12/6/16,61,6,1
12/7/16,59,5,1
12/8/16,62,4,1
12/9/16,56,4,1
12/10/16,52,3,1
12/11/16,52,3,1
12/12/16,59,3,1
12/13/16,62,4,1
