,date,btc_yearly,btc_per
363,4/29/16,,33
364,4/30/16,,33
365,5/2/16,,100
366,5/3/16,,62
367,5/4/16,,44
368,5/5/16,,46
369,5/6/16,,41
370,5/7/16,,35
371,5/9/16,,37
372,5/10/16,,39
373,5/11/16,,33
374,5/12/16,,36
375,5/13/16,,33
376,5/14/16,,29
377,5/16/16,,32
378,5/17/16,,32
379,5/18/16,,31
380,5/19/16,,34
381,5/20/16,,34
382,5/21/16,,29
383,5/23/16,,32
384,5/24/16,,33
385,5/25/16,,34
386,5/26/16,,33
387,5/27/16,,35
388,5/28/16,,40
389,5/30/16,,48
390,5/31/16,,44
391,6/1/16,,42
392,6/2/16,,38
393,6/3/16,,46
394,6/4/16,,44
395,6/6/16,,41
396,6/7/16,,44
397,6/8/16,,38
398,6/9/16,,39
399,6/10/16,,35
400,6/11/16,,36
401,6/13/16,,70
402,6/14/16,,57
403,6/15/16,,50
404,6/16/16,,64
405,6/17/16,,62
406,6/18/16,,55
407,6/20/16,,52
408,6/21/16,,57
409,6/22/16,,54
410,6/23/16,,54
411,6/24/16,,77
412,6/25/16,,53
413,6/27/16,,50
414,6/28/16,,45
415,6/29/16,,42
416,6/30/16,,44
417,7/1/16,,54
418,7/2/16,,52
419,7/4/16,,49
420,7/5/16,,51
421,7/6/16,,52
422,7/7/16,,56
423,7/8/16,,54
424,7/9/16,,68
425,7/11/16,,50
426,7/12/16,,51
427,7/13/16,,50
428,7/14/16,,44
429,7/15/16,,44
430,7/16/16,,44
431,7/18/16,,46
432,7/19/16,,47
433,7/20/16,,43
434,7/21/16,,41
435,7/22/16,,43
436,7/23/16,,39
437,7/25/16,,41
438,7/26/16,,43
439,7/27/16,,48
440,7/28/16,,41
441,7/29/16,,41
442,7/30/16,,40
443,8/1/16,,47
444,8/2/16,,56
445,8/3/16,,100
446,8/4/16,,67
447,8/5/16,,52
448,8/6/16,,42
449,8/8/16,,43
450,8/9/16,,45
451,8/10/16,,42
452,8/11/16,,41
453,8/12/16,,40
454,8/13/16,,38
455,8/15/16,,42
456,8/16/16,,41
457,8/17/16,,42
458,8/18/16,,41
459,8/19/16,,39
460,8/20/16,,35
461,8/22/16,,40
462,8/23/16,,40
463,8/24/16,,40
464,8/25/16,,42
465,8/26/16,,38
466,8/27/16,,39
467,8/29/16,,40
468,8/30/16,,38
469,8/31/16,,42
470,9/1/16,,41
471,9/2/16,,39
472,9/3/16,,43
473,9/5/16,,42
474,9/6/16,,41
475,9/7/16,,43
476,9/8/16,,49
477,9/9/16,,43
478,9/10/16,,45
479,9/12/16,,45
480,9/13/16,,40
481,9/14/16,,41
482,9/15/16,,42
483,9/16/16,,42
484,9/17/16,,41
485,9/19/16,,39
486,9/20/16,,44
487,9/21/16,,45
488,9/22/16,,41
489,9/23/16,,41
490,9/24/16,,38
491,9/26/16,,40
492,9/27/16,,39
493,9/28/16,,38
494,9/29/16,,39
495,9/30/16,,40
496,10/1/16,,43
497,10/3/16,,43
498,10/4/16,,43
499,10/5/16,,44
500,10/6/16,,43
501,10/7/16,,45
502,10/8/16,,43
503,10/10/16,,45
504,10/11/16,,51
505,10/12/16,,54
506,10/13/16,,49
507,10/14/16,,48
508,10/15/16,,44
509,10/17/16,,46
510,10/18/16,,45
511,10/19/16,,46
512,10/20/16,,45
513,10/21/16,,43
514,10/22/16,,44
515,10/24/16,,48
516,10/25/16,,48
517,10/26/16,,51
518,10/27/16,,56
519,10/28/16,,58
520,10/29/16,,67
521,10/31/16,,58
522,11/1/16,,64
523,11/2/16,,58
524,11/3/16,,63
525,11/4/16,,59
526,11/5/16,,58
527,11/7/16,,58
528,11/8/16,,55
529,11/9/16,,77
530,11/10/16,,58
531,11/11/16,,55
532,11/12/16,,54
533,11/14/16,,55
534,11/15/16,,54
535,11/16/16,,60
536,11/17/16,,65
537,11/18/16,,62
538,11/19/16,,59
539,11/21/16,,56
540,11/22/16,,62
541,11/23/16,,59
542,11/24/16,,60
543,11/25/16,,55
544,11/26/16,,55
545,11/28/16,,57
546,11/29/16,,60
547,11/30/16,,59
548,12/1/16,,60
549,12/2/16,,65
550,12/3/16,,58
551,12/5/16,,61
552,12/6/16,,61
553,12/7/16,,59
554,12/8/16,,62
555,12/9/16,,56
556,12/10/16,,52
557,12/12/16,,59
558,12/13/16,,62
559,12/14/16,,57
560,12/15/16,,58
561,12/16/16,,56
562,12/17/16,,56
563,12/19/16,,60
564,12/20/16,,61
565,12/21/16,,73
566,12/22/16,,89
567,12/23/16,,100
568,12/24/16,,81
569,12/26/16,,76
570,12/27/16,,84
571,12/28/16,,95
572,12/29/16,,96
573,12/30/16,,85
574,12/31/16,,72
575,1/2/17,,81
576,1/3/17,,73
577,1/4/17,,86
578,1/5/17,,100
579,1/6/17,,86
580,1/7/17,,74
581,1/9/17,,61
582,1/10/17,,58
583,1/11/17,,69
584,1/12/17,,69
585,1/13/17,,56
586,1/14/17,,52
587,1/16/17,,51
588,1/17/17,,54
589,1/18/17,,53
590,1/19/17,,48
591,1/20/17,,46
592,1/21/17,,44
593,1/23/17,,46
594,1/24/17,,45
595,1/25/17,,46
596,1/26/17,,44
597,1/27/17,,41
598,1/28/17,,42
599,1/30/17,,42
600,1/31/17,,47
601,2/1/17,,48
602,2/2/17,,51
603,2/3/17,,54
604,2/4/17,,45
605,2/6/17,,46
606,2/7/17,,46
607,2/8/17,,53
608,2/9/17,,59
609,2/10/17,,50
610,2/11/17,,48
611,2/13/17,,45
612,2/14/17,,45
613,2/15/17,,45
614,2/16/17,,45
615,2/17/17,,48
616,2/18/17,,49
617,2/20/17,,47
618,2/21/17,,58
619,2/22/17,,53
620,2/23/17,,59
621,2/24/17,,72
622,2/25/17,,57
623,2/27/17,,56
624,2/28/17,,54
625,3/1/17,,57
626,3/2/17,,67
627,3/3/17,,95
628,3/4/17,,72
629,3/6/17,,65
630,3/7/17,,70
631,3/8/17,,74
632,3/9/17,,68
633,3/10/17,,93
634,3/11/17,,80
635,3/13/17,,63
636,3/14/17,,60
637,3/15/17,,59
638,3/16/17,,60
639,3/17/17,,62
640,3/18/17,,72
641,3/20/17,,63
642,3/21/17,,59
643,3/22/17,,63
644,3/23/17,,62
645,3/24/17,,60
646,3/25/17,,63
647,3/27/17,,57
648,3/28/17,,54
649,3/29/17,,53
650,3/30/17,,51
651,3/31/17,,50
652,4/1/17,,17
653,4/3/17,,19
654,4/4/17,,19
655,4/5/17,,17
656,4/6/17,,18
657,4/7/17,,17
658,4/8/17,,18
659,4/10/17,,18
660,4/11/17,,19
661,4/12/17,,19
662,4/13/17,,19
663,4/14/17,,17
664,4/15/17,,15
665,4/17/17,,18
666,4/18/17,,18
667,4/19/17,,18
668,4/20/17,,18
669,4/21/17,,17
670,4/22/17,,17
671,4/24/17,,17
672,4/25/17,,19
673,4/26/17,,21
674,4/27/17,,22
675,4/28/17,,20
676,4/29/17,,20
677,5/1/17,,24
678,5/2/17,,26
679,5/3/17,,26
680,5/4/17,,33
681,5/5/17,,31
682,5/6/17,,26
683,5/8/17,,28
684,5/9/17,,37
685,5/10/17,,34
686,5/11/17,,40
687,5/12/17,,43
688,5/13/17,,45
689,5/15/17,,54
