Week,bitcoin: (Worldwide),ethereum: (Worldwide),litecoin: (Worldwide)
6/26/16,3,0.1,0.1
7/3/16,3,0.1,0.1
7/10/16,3,0.1,0.1
7/17/16,3,0.1,0.1
7/24/16,3,1,0.1
7/31/16,3,0.1,0.1
8/7/16,3,0.1,0.1
8/14/16,2,0.1,0.1
8/21/16,2,0.1,0.1
8/28/16,2,0.1,0.1
9/4/16,3,0.1,0.1
9/11/16,3,0.1,0.1
9/18/16,2,0.1,0.1
9/25/16,2,0.1,0.1
10/2/16,2,0.1,0.1
10/9/16,3,0.1,0.1
10/16/16,2,0.1,0.1
10/23/16,3,0.1,0.1
10/30/16,3,0.1,0.1
11/6/16,3,0.1,0.1
11/13/16,3,0.1,0.1
11/20/16,3,0.1,0.1
11/27/16,3,0.1,0.1
12/4/16,3,0.1,0.1
12/11/16,3,0.1,0.1
12/18/16,4,0.1,0.1
12/25/16,5,0.1,0.1
1/1/17,7,0.1,0.1
1/8/17,6,0.1,0.1
1/15/17,4,0.1,0.1
1/22/17,4,0.1,0.1
1/29/17,4,0.1,0.1
2/5/17,4,0.1,0.1
2/12/17,4,0.1,0.1
2/19/17,5,0.1,0.1
2/26/17,6,1,0.1
3/5/17,7,0.1,0.1
3/12/17,6,1,0.1
3/19/17,5,1,0.1
3/26/17,5,1,0.1
4/2/17,5,1,0.1
4/9/17,5,1,0.1
4/16/17,5,1,0.1
4/23/17,5,1,0.1
4/30/17,7,2,0.1
5/7/17,10,1,1
5/14/17,11,1,0.1
5/21/17,19,5,1
5/28/17,12,4,1
6/4/17,12,4,1
6/11/17,13,7,1
6/18/17,11,5,1
6/25/17,11,5,1
7/2/17,9,3,1
7/9/17,10,4,1
7/16/17,12,4,1
7/23/17,11,3,1
7/30/17,14,2,1
8/6/17,14,3,1
8/13/17,20,3,1
8/20/17,16,3,1
8/27/17,17,3,2
9/3/17,18,3,1
9/10/17,21,3,1
9/17/17,15,2,1
9/24/17,13,2,1
10/1/17,12,2,0.1
10/8/17,18,2,1
10/15/17,19,3,1
10/22/17,20,2,1
10/29/17,27,3,1
11/5/17,29,3,1
11/12/17,31,3,1
11/19/17,28,4,1
11/26/17,65,6,3
12/3/17,91,7,5
12/10/17,83,10,15
12/17/17,100,8,9
12/24/17,63,5,4
12/31/17,48,7,4
1/7/18,46,9,3
1/14/18,57,8,3
1/21/18,37,4,2
1/28/18,39,5,2
2/4/18,47,4,2
2/11/18,27,3,3
2/18/18,23,2,3
2/25/18,19,2,1
3/4/18,19,2,1
3/11/18,19,2,1
3/18/18,18,2,1
3/25/18,18,2,1
4/1/18,17,2,1
