count,date,btc_index,eth_per,ltc_per,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,count_vendors,sum,txVolume(USD)_e_e,txCount_e_e,marketcap(USD)_e_e,price(USD)_e_e,exchangeVolume(USD)_e_e,generatedCoins_e_e,fees_e_e,activeAddresses_e_e,txVolume(USD)_l,txCount_l,marketcap(USD)_l,price(USD)_l,exchangeVolume(USD)_l,generatedCoins_l,fees_l,activeAddresses_l,Price_futures,VIX Close,cyber_attack_index,hashrate,diff,dum_future,btc_per,cyber_attack
14,12/25/17,40,3,2,19532753166,228791,2.35E+11,13995.9,10664700000,1687.5,689.394412,null,4,11184,4380048429,752361,67475100000,698.87,2491760000,20446.875,756.7676749,359699,1358163087,77925,15111400000,277.49,804377000,14100,172.9878204,null,"13,790",9.9,10,14153111.89,1.87E+12,1,2480,10
15,12/26/17,40,3,3,24633024693,247298,2.35E+11,14036.6,13454300000,1775,725.6238182,null,11,11195,6763153532,813510,73717800000,763.37,2201160000,20383.6875,743.0628659,397072,1206437969,82613,14876400000,273.11,842993000,15525,183.8221926,null,"15,810",10.25,16,12570198.06,1.87E+12,1,2480,16
16,12/27/17,37,3,3,27522917857,307486,2.71E+11,16163.5,12487600000,1950,784.8171235,null,19,11214,7865086383,912752,74854100000,774.97,2100030000,20533.125,826.1818048,425319,1799705552,112765,15615200000,286.59,777138000,14900,267.5139468,null,"14,945",10.47,26,13221986.11,1.87E+12,1,2294,26
17,12/28/17,38,3,3,22350204742,304904,2.66E+11,15864.1,12336500000,1862.5,785.8338917,null,18,11232,9632919662,949503,73637100000,762.21,2389150000,20434.125,832.9628957,452867,3283120851,111207,14831200000,272.13,2593240000,14825,321.6631363,null,"13,755",10.18,15,14525562.2,1.87E+12,1,2356,15
18,12/29/17,33,3,2,21928912582,353659,2.46E+11,14695.8,13025500000,2062.5,785.7950496,null,16,11248,10883827032,1090191,71544300000,740.39,2648970000,20461.21875,1007.437081,544454,5112717920,155481,13648200000,250.35,1392210000,14950,231.1299415,null,"14,550",11.04,11,13873774.15,1.87E+12,1,2046,11
19,12/30/17,33,3,3,20847802427,344260,2.46E+11,14681.9,14452600000,1825,778.5711097,null,3,11251,12309976248,1136659,72856900000,753.82,3187780000,20547.46875,972.7447595,582402,1770454678,141900,13364800000,245.09,943667000,14900,441.5243002,null,"14,065",11.04,16,15363575.41,1.87E+12,1,2046,16
20,12/31/17,28,3,2,13686043242,290259,2.16E+11,12897.7,12136300000,2037.5,545.1445262,null,6,11257,6448929794,946981,68850800000,712.21,2554270000,20454.75,871.2215219,440955,3100976079,105948,11835100000,216.97,771042000,14300,396.2764514,null,"13,823",11.04,20,13687549,1.87E+12,1,1344,40
21,1/1/18,46,4,3,14286973592,241601,2.37E+11,14112.2,10291200000,1950,469.4130365,null,2,11259,6237383004,908945,73075800000,755.76,2595760000,20623.96875,768.4409065,453141,1395521844,83076,12639700000,231.67,633142000,13700,158.744685,null,"13,580",11.04,11,15177350.25,1.87E+12,1,2208,22
22,1/2/18,54,8,4,21070141546,340809,2.29E+11,13625,16846600000,2137.5,649.1649763,null,10,11269,10807957387,1153936,74695700000,772.35,5783350000,20561.0625,1053.030166,588283,2788360226,127924,12496900000,228.99,1237950000,13875,214.3074111,null,"15,055",9.77,16,14975580.96,1.92E+12,1,2592,32
23,1/3/18,54,8,4,20793365454,395806,2.51E+11,14978.2,16871900000,1962.5,749.6854726,null,13,11282,12393184008,1238030,85703500000,886,5093160000,20599.21875,1240.294973,631268,3437430415,186764,13957800000,255.69,3215280000,14400,330.1692951,null,"14,995",9.15,14,16415540.67,1.93E+12,1,2592,28
