,Day,cyber attack,date,btc_per,eth_per,ltc_per,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,count,sum,txVolume(USD)_e_e,txCount_e_e,marketcap(USD)_e_e,price(USD)_e_e,exchangeVolume(USD)_e_e,generatedCoins_e_e,fees_e_e,activeAddresses_e_e,txVolume(USD)_l,txCount_l,marketcap(USD)_l,price(USD)_l,exchangeVolume(USD)_l,generatedCoins_l,fees_l,activeAddresses_l,Price_futures,Open_futures,High_futures,Low_futures,Vol._futures,Change %_futures
872,12/29/17,11.0,2017-12-29,33.0,3.0,2.0,21928912582.0,353659,246428000000.0,14695.8,13025500000.0,2062.5,785.79504963,null,16.0,11248.0,10883827031.5,1090191,71544300000.0,740.39,2648970000.0,20461.21875,1007.43708137,544454,5112717920.03,155481,13648200000.0,250.35,1392210000.0,14950.0,231.12994152,null,"14,550","13,580","15,010","13,580",4.79K,5.78
875,1/8/18,20.0,2018-01-08,51.0,11.0,4.0,28755019697.5,345506,276612000000.0,16476.2,18413900000.0,2075.0,694.5264055,null,10.0,11344.0,17551600313.3,1215473,112164000000.0,1158.26,8450970000.0,20603.4375,2944.30486048,645894,2869497081.88,146511,15726800000.0,287.73,1182080000.0,14025.0,168.23044497,null,"14,940","16,480","16,540","13,960",5.13K,-8.0
876,1/9/18,25.0,2018-01-09,48.0,10.0,4.0,23699755585.6,360101,253935000000.0,15123.7,16660000000.0,2050.0,752.4182028,null,11.0,11355.0,18481672679.7,1256240,110999000000.0,1146.0,7965460000.0,20735.8125,3091.62689702,701525,2755253420.5,145848,13920200000.0,254.61,940825000.0,13475.0,167.3666241,null,"14,790","15,010","15,430","14,250",2.78K,-1.0
877,1/10/18,18.0,2018-01-10,50.0,12.0,4.0,21480822244.5,347227,244981000000.0,14588.5,18500800000.0,2075.0,720.32570087,null,14.0,11369.0,22594117877.9,1177685,125976000000.0,1300.34,9214950000.0,21081.9375,3696.64640195,645542,2317186688.34,140304,13566300000.0,248.07,1009910000.0,13875.0,165.92200852,null,"14,445","14,790","14,790","13,490",4.46K,-2.33
878,1/11/18,24.0,2018-01-11,56.0,10.0,3.0,18718517841.3,337766,251387000000.0,14968.2,16534100000.0,2412.5,697.44083354,null,18.0,11387.0,20036882281.2,1173965,122879000000.0,1268.09,7235900000.0,21031.40625,3132.4787551,650420,2056890952.41,120843,13758400000.0,251.52,1079390000.0,14675.0,134.128334,null,"13,320","14,450","14,990","12,820",5.99K,-7.79
879,1/12/18,19.0,2018-01-12,46.0,8.0,3.0,16490708794.0,299913,225986000000.0,13453.9,12065700000.0,2225.0,617.63579417,null,24.0,11411.0,14500776314.4,1118757,112263000000.0,1158.29,5222300000.0,20917.125,2324.70927583,593833,1812515985.08,106887,12572900000.0,229.79,691160000.0,13625.0,133.73444553,null,"13,800","13,240","14,090","12,870",3.00K,3.6
881,1/14/18,9.0,2018-01-14,37.0,7.0,3.0,12266702309.8,234890,241447000000.0,14370.8,11084100000.0,1937.5,491.32446483,null,11.0,11434.0,34772491598.7,1081593,135503000000.0,1397.48,4841630000.0,21025.875,2236.83827578,579714,2196018583.27,88779,14265000000.0,260.58,886415000.0,15750.0,109.88905577,null,"13,700","13,620","13,720","13,620",0,-0.72
882,1/15/18,27.0,2018-01-15,38.0,7.0,2.0,13172946669.1,273473,231334000000.0,13767.3,12750800000.0,1875.0,510.11761779,null,14.0,11448.0,16006341544.8,1206420,132404000000.0,1365.21,4781100000.0,20413.875,2227.02679761,694739,1702216664.64,90381,12993700000.0,237.29,601770000.0,13975.0,117.0398274,null,"13,570","13,700","14,310","13,440",0,-0.95
883,1/16/18,21.0,2018-01-16,75.0,10.0,4.0,28204175767.4,303566,232517000000.0,13836.1,18853800000.0,1987.5,606.38246009,null,14.0,11462.0,19751150383.7,1277936,125389000000.0,1292.63,8405140000.0,20887.59375,2229.81190953,719093,2348522411.36,117447,12752100000.0,232.82,1405070000.0,15350.0,146.24360262,null,"11,055","13,650","14,300","10,930",9.95K,-18.53
884,1/17/18,29.0,2018-01-17,100.0,11.0,4.0,17637597012.2,315604,192123000000.0,11431.1,18830600000.0,2087.5,675.09668652,null,11.0,11473.0,16995470507.0,1277083,102974000000.0,1061.34,8545160000.0,20843.25,2069.22574444,703314,1563652132.13,113111,10417800000.0,190.15,1422490000.0,15100.0,148.58420394,null,"11,055","10,850","11,700","9,200",5.25K,0.0
885,1/18/18,32.0,2018-01-18,69.0,8.0,3.0,15128920554.4,309322,188242000000.0,11198.8,15020400000.0,2162.5,656.89753535,null,9.0,11482.0,14016567259.9,1205184,98642100000.0,1016.44,5938320000.0,20549.0625,2153.06673894,669433,1408148568.91,95276,10245500000.0,186.95,936784000.0,14625.0,121.21560363,null,"11,765","10,990","12,140","10,620",9.80K,6.42
886,1/19/18,21.0,2018-01-19,51.0,6.0,2.0,11760289034.2,243454,192150000000.0,11429.8,10740400000.0,2062.5,491.48999429,null,23.0,11505.0,9405274223.39,1043257,99863900000.0,1028.82,4084450000.0,20638.6875,1866.32652404,529465,868830132.018,70009,10480800000.0,191.19,560284000.0,14750.0,97.42426049,null,"11,400","11,680","12,090","11,030",7.10K,-3.1
888,1/21/18,17.0,2018-01-21,38.0,5.0,2.0,9135857725.22,215435,216740000000.0,12889.2,9935180000.0,2337.5,343.36269629,null,8.0,11530.0,8620990344.56,1006530,112226000000.0,1155.68,3378090000.0,20274.65625,1323.96038541,582462,651386353.476,55466,11585700000.0,211.24,463516000.0,14100.0,74.97143,null,"11,590","11,480","11,590","11,400",0,1.67
889,1/22/18,30.0,2018-01-22,46.0,5.0,2.0,11990946776.3,245395,195645000000.0,11633.1,10537400000.0,2087.5,314.61253947,null,15.0,11545.0,9436835033.35,972911,102504000000.0,1055.35,3810100000.0,20564.625,1196.76265691,496788,743153842.0389999,61730,10521900000.0,191.79,494091000.0,14550.0,83.96600813010001,null,"10,215","11,220","11,880","10,110",9.10K,-11.86
890,1/23/18,34.0,2018-01-23,44.0,5.0,2.0,11920415581.8,271759,184087000000.0,10944.5,9660610000.0,2212.5,285.95800518,null,11.0,11556.0,8648758338.42,928494,97554300000.0,1004.17,3556700000.0,20488.3125,1439.10428008,459296,534811147.01,59717,9892990000.0,180.28,441765000.0,14300.0,83.39240562,null,"10,975","10,190","11,450","9,910",11.24K,7.44
891,1/24/18,42.0,2018-01-24,41.0,5.0,2.0,11955565338.3,250247,183419000000.0,10903.4,9940990000.0,2200.0,283.49809897,null,11.0,11567.0,8507204808.98,913668,95952700000.0,987.48,3944040000.0,20575.40625,1292.59305475,438353,945719807.655,59072,9793780000.0,178.43,375949000.0,14825.0,81.27281883,null,"11,195","10,990","11,490","10,450",7.42K,2.0
892,1/25/18,27.0,2018-01-25,38.0,5.0,2.0,9754662056.81,236422,192163000000.0,11421.7,8873170000.0,1975.0,220.85446644,null,12.0,11579.0,4363645979.46,788515,103335000000.0,1063.22,4050190000.0,20337.5625,1058.46029772,358124,726123359.53,61836,9968750000.0,181.56,363138000.0,14400.0,80.3827175699,null,"11,300","11,250","11,730","10,840",7.26K,0.94
893,1/26/18,24.0,2018-01-26,39.0,4.0,2.0,11742366541.3,220304,189398000000.0,11256.0,9746200000.0,1937.5,209.13221596,null,10.0,11589.0,10486316062.5,953429,102334000000.0,1052.7,3617690000.0,20401.03125,958.7589108510001,463443,826360183.3180001,57452,9875590000.0,179.82,375477000.0,16325.0,81.52443368,null,"10,940","11,170","11,610","10,240",7.58K,-3.19
